level,cond,n_total,n_valid,mean_directed_clustering,sd_directed_clustering,mean_weighted_directed_clustering,sd_weighted_directed_clustering,mean_active_vertices_all,sd_active_vertices_all,mean_active_edges_all,sd_active_edges_all
sample_graphwise,overall,1317,1306,0.20152756258069182,0.01569035726625998,0.11799677341624377,0.022743302152882547,3746.5466970387242,429.2483961026159,12682.284738041002,1699.356527962646
sample_graphwise,cd,591,589,0.20252851622667659,0.017421085213317183,0.12167369035307285,0.023644826511554695,3769.3147208121827,352.13420247327184,12711.91708967851,1491.3159333595406
sample_graphwise,uc,367,360,0.2005939634055768,0.015758801237857046,0.11827203993129128,0.02132343766882748,3717.7465940054494,576.5153883515256,12584.24795640327,2156.5527912022967
sample_graphwise,nonibd,359,357,0.2008175738007379,0.012100922959389544,0.1116527957657971,0.021183179379295786,3738.5069637883007,360.92533403484305,12733.724233983286,1471.210338424201
participant_average,overall,106,106,0.2013345507127595,0.010882893015769236,0.11806418060232378,0.01654226312922259,3750.93456947641,188.86165073505524,12698.988418766612,869.4918787876146
participant_average,cd,50,50,0.2022787868326175,0.013220840386214289,0.12031322204743847,0.017799383540504837,3765.552897793581,201.021870785142,12694.097231177013,920.9384018202826
participant_average,uc,30,30,0.20007984139006438,0.008346148909096972,0.11852218505591555,0.014885865527704673,3722.6066341499272,194.08012574823223,12603.395453545934,881.9347642316061
participant_average,nonibd,26,26,0.2009664535469115,0.007917245749493002,0.11321063422295886,0.014736494633999299,3755.5084788585623,151.2866989142446,12818.694124001233,727.1959357949429
