level,mode,path_set,cond,n,n_total,n_valid,n_active_vertices_mean,n_active_vertices_sd,n_active_edges_mean,n_active_edges_sd,n_source_requested_mean,n_source_requested_sd,n_target_requested_per_source_mean,n_target_requested_per_source_sd,long_min_hop_mean,long_min_hop_sd,n_sources_sampled_mean,n_sources_sampled_sd,n_ordered_source_target_pairs_mean,n_ordered_source_target_pairs_sd,mean_reachable_fraction_sampled_sources_mean,mean_reachable_fraction_sampled_sources_sd,total_edge_traversals_mean,total_edge_traversals_sd,unique_edges_used_mean,unique_edges_used_sd,unique_edges_used_fraction_of_active_mean,unique_edges_used_fraction_of_active_sd,edge_traversal_hhi_mean,edge_traversal_hhi_sd,effective_edges_mean,effective_edges_sd,effective_edges_fraction_of_active_mean,effective_edges_fraction_of_active_sd,top1pct_traversal_share_mean,top1pct_traversal_share_sd,top1pct_n_edges_mean,top1pct_n_edges_sd,top1pct_n_used_edges_mean,top1pct_n_used_edges_sd,top1pct_median_w_top_used_mean,top1pct_median_w_top_used_sd,top1pct_median_support_top_used_mean,top1pct_median_support_top_used_sd,top1pct_usage_weighted_mean_w_top_used_mean,top1pct_usage_weighted_mean_w_top_used_sd,top1pct_usage_weighted_mean_support_top_used_mean,top1pct_usage_weighted_mean_support_top_used_sd,top5pct_traversal_share_mean,top5pct_traversal_share_sd,top5pct_n_edges_mean,top5pct_n_edges_sd,top5pct_n_used_edges_mean,top5pct_n_used_edges_sd,top5pct_median_w_top_used_mean,top5pct_median_w_top_used_sd,top5pct_median_support_top_used_mean,top5pct_median_support_top_used_sd,top5pct_usage_weighted_mean_w_top_used_mean,top5pct_usage_weighted_mean_w_top_used_sd,top5pct_usage_weighted_mean_support_top_used_mean,top5pct_usage_weighted_mean_support_top_used_sd,top10pct_traversal_share_mean,top10pct_traversal_share_sd,top10pct_n_edges_mean,top10pct_n_edges_sd,top10pct_n_used_edges_mean,top10pct_n_used_edges_sd,top10pct_median_w_top_used_mean,top10pct_median_w_top_used_sd,top10pct_median_support_top_used_mean,top10pct_median_support_top_used_sd,top10pct_usage_weighted_mean_w_top_used_mean,top10pct_usage_weighted_mean_w_top_used_sd,top10pct_usage_weighted_mean_support_top_used_mean,top10pct_usage_weighted_mean_support_top_used_sd,n_samples_for_participant_mean,n_samples_for_participant_sd
sample graphwise,minimax,all,overall,1317,1317,1306,3746.5466970387242,429.2483961026159,12682.284738041002,1699.356527962646,100.0,0.0,100.0,0.0,4.0,0.0,99.16476841305999,9.100854184645481,8477.148823082764,869.5320785103904,0.5077773957854899,0.03370362205536211,39450.44039483675,4687.292069522076,3472.310554290053,427.50073952636916,0.27451972950464626,0.011400954773231942,0.004218979702650006,0.0010356422251749115,249.67345862452544,54.18204295933896,0.01966462817076634,0.0046831729319420515,0.5122441082789745,0.03197136012438745,127.32953682611996,17.031637473603144,127.32953682611996,17.031637473603144,0.16994422095761016,0.10770984368958755,0.8300557790423897,0.10770984368958755,0.18264494287838495,0.08396926523921573,0.817355057121615,0.08396926523921573,0.7813085930269006,0.01530100904852255,634.5747911921032,84.99448319703663,634.5747911921032,84.99448319703663,0.20578424514671734,0.12012045312345201,0.7942157548532827,0.12012045312345201,0.20443450218635037,0.08502918387338589,0.7955654978136497,0.08502918387338589,0.8734460455058107,0.009467228688490538,1268.672741078208,169.96886568130842,1268.672741078208,169.96886568130842,0.23819148776836832,0.12592595705310983,0.7618085122316316,0.1259259570531098,0.21652552242728443,0.08613305297963085,0.7834744775727155,0.08613305297963085,,
sample graphwise,minimax,all,cd,591,591,589,3769.3147208121827,352.13420247327184,12711.91708967851,1491.3159333595406,100.0,0.0,100.0,0.0,4.0,0.0,99.66159052453469,5.807445787387653,8531.192893401016,628.7111625424691,0.508882436415222,0.03528297033555994,39961.862944162436,3730.8645332749434,3493.6294416243654,362.0790264576702,0.27573095931234054,0.012861172973070302,0.0043112768303157365,0.00113603430970818,245.90517268184954,55.75197085655046,0.019483357881105893,0.005199294574696988,0.5113750692397157,0.033678069353879785,127.6429780033841,14.924495153890495,127.6429780033841,14.924495153890495,0.142823459350097,0.1017127465989719,0.8571765406499029,0.1017127465989719,0.16353241572589178,0.08088319449592989,0.8364675842741083,0.08088319449592989,0.7817695256926872,0.01647232754838364,636.0524534686971,74.57309265950305,636.0524534686971,74.57309265950305,0.1774600997894025,0.11631640907065857,0.8225399002105975,0.11631640907065857,0.1850181895962191,0.0826074400519302,0.8149818104037809,0.0826074400519302,0.87348548080252,0.009927029805331757,1271.642978003384,149.1536737387915,1271.642978003384,149.1536737387915,0.20849358442863414,0.12474504133090777,0.7915064155713658,0.12474504133090776,0.1969835110710902,0.08392076338068982,0.8030164889289099,0.08392076338068982,,
sample graphwise,minimax,all,uc,367,367,360,3717.7465940054494,576.5153883515256,12584.24795640327,2156.5527912022967,100.0,0.0,100.0,0.0,4.0,0.0,98.09264305177112,13.678365556415407,8381.912806539509,1230.4176814689451,0.5078623241061047,0.032050570675372765,39228.24523160763,6289.618806851635,3446.291553133515,554.0174300659987,0.2746608667818699,0.011322449090150146,0.004177349694584855,0.0009956432210797058,251.59319707750345,53.61613900927721,0.019739676412924005,0.0045022041566814604,0.5146921317948692,0.03292223004431293,126.33242506811989,21.628359885570454,126.33242506811989,21.628359885570454,0.1652722876946755,0.09618052322951165,0.8347277123053246,0.09618052322951165,0.17955347494044824,0.07849684024587583,0.8204465250595518,0.07849684024587583,0.7825185920906687,0.01564021001927495,629.6757493188011,107.8822449951866,629.6757493188011,107.8822449951866,0.20319671462599515,0.11159742002054816,0.7968032853740049,0.11159742002054818,0.20071406505351552,0.07900055153942451,0.7992859349464845,0.07900055153942451,0.8740472826428566,0.009927506533146608,1258.8719346049047,215.7095192110762,1258.8719346049047,215.7095192110762,0.23864909671507387,0.11646408161420088,0.7613509032849262,0.11646408161420088,0.21292066394664938,0.08026842379976336,0.7870793360533507,0.08026842379976336,,
sample graphwise,minimax,all,nonibd,359,359,357,3738.5069637883007,360.92533403484305,12733.724233983286,1471.210338424201,100.0,0.0,100.0,0.0,4.0,0.0,99.44289693593315,7.443113769296591,8485.537604456824,749.1213632189581,0.5058685915100457,0.03255946136111585,38835.66295264624,4047.915954122053,3463.813370473538,373.27784873475866,0.2723790466572163,0.008142871436550533,0.004108682208835831,0.0008756814638176988,253.95473194991493,51.642902463609715,0.01988801986105554,0.0038837283327783564,0.511209305837522,0.027689822039777004,127.83286908077994,14.75897084688439,127.83286908077994,14.75897084688439,0.21940087239033215,0.11118671111497933,0.7805991276096678,0.1111867111149793,0.21729538251557182,0.08350920286440217,0.7827046174844282,0.08350920286440218,0.779327951561621,0.012505406187591335,637.150417827298,73.5796590941814,637.150417827298,73.5796590941814,0.25512439249382773,0.11890986318154564,0.7448756075061722,0.11890986318154564,0.2402203998989773,0.08354861493609374,0.7597796001010226,0.08354861493609374,0.8727746932394288,0.008068209422069081,1273.8022284122562,147.14411254195124,1273.8022284122562,147.14411254195124,0.28672741450867484,0.12184995160959756,0.7132725854913251,0.12184995160959756,0.2524022555976683,0.08422213432135811,0.7475977444023317,0.08422213432135811,,
sample graphwise,minimax,long_hop_ge4,overall,1317,1317,1306,3746.5466970387242,429.2483961026159,12682.284738041002,1699.356527962646,100.0,0.0,100.0,0.0,4.0,0.0,99.16476841305999,9.100854184645481,8477.148823082764,869.5320785103904,0.5077773957854899,0.03370362205536211,17750.3523158694,2567.302524535635,2358.3819286256644,288.5988523237184,0.1869390619784708,0.01542285747293824,0.004865120373307789,0.001020170242842227,214.08667366715932,42.27772184107677,0.016858997089027765,0.0038719271683710886,0.5659757333763255,0.029642666164089754,127.32953682611996,17.031637473603144,127.32953682611996,17.031637473603144,0.1845788650774108,0.11219988396398137,0.8154211349225892,0.11219988396398137,0.2084162849653555,0.09336243699196073,0.7915837150346445,0.09336243699196073,0.8176344038968694,0.014814550721248898,634.5747911921032,84.99448319703663,634.5747911921032,84.99448319703663,0.22577007333491553,0.11802348602202002,0.7742299266650845,0.11802348602202001,0.22776365475827745,0.09074202527528351,0.7722363452417225,0.09074202527528351,0.9241424028869933,0.01057618587838487,1268.672741078208,169.96886568130842,1268.672741078208,169.96886568130842,0.2513400257082439,0.11879199616347061,0.7486599742917561,0.11879199616347061,0.23813542580320088,0.08993388934486972,0.761864574196799,0.08993388934486972,,
sample graphwise,minimax,long_hop_ge4,cd,591,591,589,3769.3147208121827,352.13420247327184,12711.91708967851,1491.3159333595406,100.0,0.0,100.0,0.0,4.0,0.0,99.66159052453469,5.807445787387653,8531.192893401016,628.7111625424691,0.508882436415222,0.03528297033555994,17940.490693739426,2246.53167527598,2373.3654822335025,241.6726648039259,0.18787257705770014,0.01673541728051795,0.00491204502080596,0.001053936146084553,212.25594401911448,42.05663588989352,0.01683446667001154,0.0043920059379243545,0.5653063805561079,0.03181034120487222,127.6429780033841,14.924495153890495,127.6429780033841,14.924495153890495,0.1566820433392331,0.10759602612303314,0.8433179566607669,0.10759602612303314,0.18803933135802284,0.0908978395434791,0.8119606686419772,0.0908978395434791,0.8174631022782357,0.015777484848368686,636.0524534686971,74.57309265950305,636.0524534686971,74.57309265950305,0.19769333982436899,0.11556286897229145,0.802306660175631,0.11556286897229145,0.20805582877263845,0.08854877974612056,0.7919441712273615,0.08854877974612056,0.9237547146232387,0.01129639943680573,1271.642978003384,149.1536737387915,1271.642978003384,149.1536737387915,0.22461431125260561,0.11785405913521398,0.7753856887473943,0.11785405913521398,0.21894497285919057,0.08785925196100568,0.7810550271408093,0.08785925196100568,,
sample graphwise,minimax,long_hop_ge4,uc,367,367,360,3717.7465940054494,576.5153883515256,12584.24795640327,2156.5527912022967,100.0,0.0,100.0,0.0,4.0,0.0,98.09264305177112,13.678365556415407,8381.912806539509,1230.4176814689451,0.5078623241061047,0.032050570675372765,17659.694822888283,3214.4762901090858,2342.6512261580383,374.6295512905134,0.18722719414969838,0.01568369632570454,0.004861258410595564,0.0010113328040678412,214.4648474629354,43.49125452394442,0.016818138465818696,0.0037611032201865066,0.5690695412050727,0.030469627820418146,126.33242506811989,21.628359885570454,126.33242506811989,21.628359885570454,0.1790055985187063,0.10245077195368647,0.8209944014812938,0.10245077195368647,0.2043594249826964,0.08794900027410113,0.7956405750173035,0.08794900027410114,0.8186612793326928,0.01517365331725358,629.6757493188011,107.8822449951866,629.6757493188011,107.8822449951866,0.22748667391832944,0.11022436357461826,0.7725133260816704,0.11022436357461826,0.223657993730944,0.08528506770106217,0.776342006269056,0.08528506770106217,0.9242210813039627,0.01082088081483188,1258.8719346049047,215.7095192110762,1258.8719346049047,215.7095192110762,0.25350354050592283,0.1101849006947152,0.7464964594940772,0.1101849006947152,0.2340523875678592,0.08478626732628149,0.7659476124321407,0.08478626732628147,,
sample graphwise,minimax,long_hop_ge4,nonibd,359,359,357,3738.5069637883007,360.92533403484305,12733.724233983286,1471.210338424201,100.0,0.0,100.0,0.0,4.0,0.0,99.44289693593315,7.443113769296591,8485.537604456824,749.1213632189581,0.5058685915100457,0.03255946136111585,17530.01671309192,2278.4640857933045,2349.7966573816157,255.39760992063395,0.1851083393921738,0.012456704702548789,0.004791595693195684,0.0009665667475728344,216.72576945488765,41.2379784058117,0.016940670817755566,0.002957123195109179,0.5639602655689278,0.024378840925382884,127.83286908077994,14.75897084688439,127.83286908077994,14.75897084688439,0.23622481455898028,0.11129222608246418,0.7637751854410197,0.11129222608246418,0.24612635574540093,0.09127900201297429,0.753873644254599,0.09127900201297426,0.8168815229346251,0.012582974000222524,637.150417827298,73.5796590941814,637.150417827298,73.5796590941814,0.2703617255132991,0.11567602693987793,0.7296382744867009,0.11567602693987794,0.2644189698153684,0.08860089584337452,0.7355810301846316,0.08860089584337451,0.924702694643975,0.008945260022211327,1273.8022284122562,147.14411254195124,1273.8022284122562,147.14411254195124,0.2932520158684862,0.11629856855140965,0.7067479841315137,0.11629856855140965,0.2739143349033272,0.08774437665184957,0.7260856650966727,0.08774437665184957,,
sample graphwise,minimum_hop,all,overall,1317,1317,1306,3746.5466970387242,429.2483961026159,12682.284738041002,1699.356527962646,100.0,0.0,100.0,0.0,4.0,0.0,99.16476841305999,9.100854184645481,8477.148823082764,869.5320785103904,0.5077773957854899,0.03370362205536211,28144.19893697798,2908.251682115711,3340.5854214123005,408.9614804762876,0.26414796521957856,0.011443005941451546,0.003730167067022115,0.0004329897387740629,271.69035322370627,31.499272386594594,0.021472416695907152,0.003997712154761214,0.48045135964763114,0.024292364456944784,127.32953682611996,17.031637473603144,127.32953682611996,17.031637473603144,0.3378702594933524,0.11835125478425,0.6621297405066476,0.11835125478425,0.36834403474217087,0.08576455097456012,0.631655965257829,0.08576455097456012,0.7289930872503649,0.011118025347483115,634.5747911921032,84.99448319703663,634.5747911921032,84.99448319703663,0.3375247403085267,0.12225221624282484,0.6624752596914734,0.12225221624282483,0.3679577572402668,0.08826101243312033,0.6320422427597331,0.08826101243312032,0.8446728621563632,0.009218160191307717,1268.672741078208,169.96886568130842,1268.672741078208,169.96886568130842,0.33593629927556756,0.12352335489366262,0.6640637007244325,0.12352335489366262,0.368220100114649,0.08937872919264063,0.631779899885351,0.08937872919264063,,
sample graphwise,minimum_hop,all,cd,591,591,589,3769.3147208121827,352.13420247327184,12711.91708967851,1491.3159333595406,100.0,0.0,100.0,0.0,4.0,0.0,99.66159052453469,5.807445787387653,8531.192893401016,628.7111625424691,0.508882436415222,0.03528297033555994,28319.015228426397,2106.442432296757,3354.56345177665,343.94178512886214,0.26482808154523263,0.013261674778140066,0.0037533124387161445,0.00043037572631540597,269.95804288541643,31.093357414294555,0.02147013910402902,0.004601541443476505,0.47964800930611456,0.0262722320394632,127.6429780033841,14.924495153890495,127.6429780033841,14.924495153890495,0.3131285966778217,0.1189060477881583,0.6868714033221782,0.11890604778815829,0.35020660228645734,0.08532323727427853,0.6497933977135426,0.08532323727427853,0.7283098562896319,0.013380693781501495,636.0524534686971,74.57309265950305,636.0524534686971,74.57309265950305,0.3117593238209505,0.12440950961758628,0.6882406761790494,0.12440950961758628,0.3493685648629111,0.08874668510292419,0.6506314351370889,0.08874668510292417,0.8439764326187551,0.010850075790751286,1271.642978003384,149.1536737387915,1271.642978003384,149.1536737387915,0.31004478151222015,0.12514191638835245,0.6899552184877799,0.12514191638835245,0.34952473192862615,0.08988849755754519,0.6504752680713739,0.08988849755754519,,
