bin_mid,avg_sample_graph,avg_participant,cd_participant,uc_participant,nonibd_participant
0.0024874371859296483,15.122606927674582,14.193657466778555,17.573401175898606,12.088347240754116,10.12335444080665
0.0074623115577889445,2.5668651956826514,2.450724179322378,2.6864650802638828,2.3646308778692884,2.0967147176499745
0.01243718592964824,1.8834055905322233,1.8252958717339232,1.9520210122063406,1.8434573349773151,1.5606381440061285
0.017412060301507538,1.6291976449739847,1.5779273326050227,1.6941301350644893,1.5733780928604444,1.359709527580563
0.022386934673366835,1.4569551542169854,1.415810806832083,1.4994556023188426,1.4245099132126442,1.2449180004568978
0.02736180904522613,1.3613623231496115,1.33369907978349,1.4139882377605673,1.3070934774445635,1.2099956248340258
0.03233668341708543,1.2692299368217423,1.2501781525444162,1.3203460562773015,1.243834329669504,1.1225596717599202
0.037311557788944724,1.179498070858633,1.1680634169326989,1.2431802660630473,1.2115263809191825,0.9734583640053172
0.04228643216080402,1.1704428697420783,1.1663941950489414,1.2530715377088597,1.1375315295474318,1.0330100732046867
0.04726130653266332,1.1685409435282017,1.1398365957280636,1.1872560549677538,1.1711943663137054,1.0124632849759965
0.05223618090452262,1.1205492021639827,1.110696338075623,1.2006881439488064,1.0872990335744308,0.9646320627439535
0.057211055276381914,1.078896290535702,1.0593603061984835,1.1298647207567185,1.0627390132303207,0.9198763854728351
0.062185929648241205,1.1162663445496261,1.0924041947632246,1.1233709644572534,1.141085570019615,0.9766818969788721
0.0671608040201005,1.064635812693609,1.0457025304015612,1.0822712584227774,1.0774458237786617,0.9387511764641062
0.0721356783919598,1.082797482927467,1.0680561773099557,1.1119768336732778,1.0688394667963574,0.9826895810500266
0.07711055276381909,1.076618570186791,1.0708052499373808,1.1395831131527563,1.068804181507239,0.9408490534810524
0.0820854271356784,1.0610518888192542,1.0592177783049348,1.130565264055982,1.016729201876149,0.9710363554322898
0.08706030150753769,1.058481969488132,1.048989439446404,1.122503728816626,1.0447473265168814,0.9125105517300418
0.092035175879397,1.0672791277788765,1.0721247430331802,1.1222694046171258,1.0352367434109067,1.0182557780128305
0.09701005025125628,1.074689349235932,1.071488930462604,1.1138144125352987,1.122246202925897,0.9315276890190075
0.10198492462311559,1.0768539316172454,1.0746906420460838,1.1577229909156574,1.086243734855658,0.9016825563627793
0.10695979899497488,1.1019658149593394,1.1137606047460935,1.2153808155858818,1.1275541019242472,0.9024215486947842
0.11193467336683419,1.1531028193934825,1.1394871016722579,1.2397401588021082,1.1390074476388403,0.9472462079995658
0.11690954773869347,1.174412023974649,1.1784168332449696,1.2513154687565706,1.2361952509996683,0.9715597444672371
