cond,n_participants,n_sample_graphs,n_nonempty_sample_graphs,mean_samples_per_participant,1_mean,1_sd,2_mean,2_sd,3_mean,3_sd,4_mean,4_sd,5_mean,5_sd,>=6_mean,>=6_sd
cd,50,591,589,11.82,423.26835814341956,40.879004381600424,938.5863088049982,73.82667996550747,743.5840992134279,64.03871185491917,320.96511294282215,31.264838430120815,287.8158170858695,28.54834626353567,275.40869469487455,21.10901507125727
uc,30,367,360,12.233333333333333,414.6982487922705,28.569368300652155,923.9481041815058,57.90057822015667,734.0560446137172,52.03829083804363,319.1277023123699,23.22787175330596,291.41956483295996,29.67537111607998,275.1688938588171,26.970780659069586
nonibd,26,359,357,13.807692307692308,411.7346191898031,14.296205729489273,926.4945409569991,44.46966189827793,734.485913918857,47.913579941343826,322.94779646217773,22.652350731873778,301.32840592146607,22.056899838460293,287.5578881263664,18.80565139204622
