level,mode,cond,n,n_total,n_valid,n_active_vertices_mean,n_active_vertices_sd,n_sources_sampled_mean,n_sources_sampled_sd,n_ordered_source_target_pairs_mean,n_ordered_source_target_pairs_sd,mean_reachable_fraction_sampled_sources_mean,mean_reachable_fraction_sampled_sources_sd,n_source_requested_mean,n_source_requested_sd,n_target_requested_per_source_mean,n_target_requested_per_source_sd,n_active_edges_mean,n_active_edges_sd,total_edge_traversals_mean,total_edge_traversals_sd,unique_edges_used_mean,unique_edges_used_sd,unique_edges_used_fraction_of_active_mean,unique_edges_used_fraction_of_active_sd,top0p1pct_n_edges_mean,top0p1pct_n_edges_sd,top0p1pct_n_used_edges_mean,top0p1pct_n_used_edges_sd,top0p1pct_traversal_share_mean,top0p1pct_traversal_share_sd,top0p1pct_median_w_top_used_mean,top0p1pct_median_w_top_used_sd,top0p1pct_mean_w_top_used_mean,top0p1pct_mean_w_top_used_sd,top0p1pct_usage_weighted_mean_w_top_used_mean,top0p1pct_usage_weighted_mean_w_top_used_sd,top1pct_n_edges_mean,top1pct_n_edges_sd,top1pct_n_used_edges_mean,top1pct_n_used_edges_sd,top1pct_traversal_share_mean,top1pct_traversal_share_sd,top1pct_median_w_top_used_mean,top1pct_median_w_top_used_sd,top1pct_mean_w_top_used_mean,top1pct_mean_w_top_used_sd,top1pct_usage_weighted_mean_w_top_used_mean,top1pct_usage_weighted_mean_w_top_used_sd,top5pct_n_edges_mean,top5pct_n_edges_sd,top5pct_n_used_edges_mean,top5pct_n_used_edges_sd,top5pct_traversal_share_mean,top5pct_traversal_share_sd,top5pct_median_w_top_used_mean,top5pct_median_w_top_used_sd,top5pct_mean_w_top_used_mean,top5pct_mean_w_top_used_sd,top5pct_usage_weighted_mean_w_top_used_mean,top5pct_usage_weighted_mean_w_top_used_sd,top10pct_n_edges_mean,top10pct_n_edges_sd,top10pct_n_used_edges_mean,top10pct_n_used_edges_sd,top10pct_traversal_share_mean,top10pct_traversal_share_sd,top10pct_median_w_top_used_mean,top10pct_median_w_top_used_sd,top10pct_mean_w_top_used_mean,top10pct_mean_w_top_used_sd,top10pct_usage_weighted_mean_w_top_used_mean,top10pct_usage_weighted_mean_w_top_used_sd,n_samples_for_participant_mean,n_samples_for_participant_sd
sample graphwise,minimum_hop,overall,1317,1317,1306,3746.5466970387242,429.2483961026159,99.16476841305999,9.100854184645481,8477.148823082764,869.5320785103904,0.5077773957854899,0.03370362205536211,100.0,0.0,100.0,0.0,12682.284738041002,1699.356527962646,28144.19893697798,2908.251682115711,3340.5854214123005,408.9614804762876,0.26414796521957856,0.011443005941451546,13.183750949126804,1.7660280798085348,13.183750949126804,1.7660280798085348,0.15136885401488545,0.0117110248738477,0.3569733430834966,0.057970320621411185,0.37202353325289356,0.07886014518213419,0.37123947345157393,0.061492364717347224,127.32953682611996,17.031637473603144,127.32953682611996,17.031637473603144,0.48045135964763114,0.024292364456944784,0.3378702594933524,0.11835125478425,0.36719876537003143,0.09647081164212218,0.36834403474217087,0.08576455097456012,634.5747911921032,84.99448319703663,634.5747911921032,84.99448319703663,0.7289930872503649,0.011118025347483115,0.3375247403085267,0.12225221624282484,0.36867261221879827,0.10054295526658086,0.3679577572402668,0.08826101243312033,1268.672741078208,169.96886568130842,1268.672741078208,169.96886568130842,0.8446728621563632,0.009218160191307717,0.33593629927556756,0.12352335489366262,0.36929528358623526,0.0994894614016344,0.368220100114649,0.08937872919264063,,
sample graphwise,minimum_hop,cd,591,591,589,3769.3147208121827,352.13420247327184,99.66159052453469,5.807445787387653,8531.192893401016,628.7111625424691,0.508882436415222,0.03528297033555994,100.0,0.0,100.0,0.0,12711.91708967851,1491.3159333595406,28319.015228426397,2106.442432296757,3354.56345177665,343.94178512886214,0.26482808154523263,0.013261674778140066,13.208121827411167,1.550831344778205,13.208121827411167,1.550831344778205,0.15143171654303614,0.012187422192439613,0.34772597497462143,0.05088657516780006,0.36080598608877146,0.07614465296079061,0.36100257330506824,0.05806086327927571,127.6429780033841,14.924495153890495,127.6429780033841,14.924495153890495,0.47964800930611456,0.0262722320394632,0.3131285966778217,0.1189060477881583,0.3472251405479336,0.09690318836554486,0.35020660228645734,0.08532323727427853,636.0524534686971,74.57309265950305,636.0524534686971,74.57309265950305,0.7283098562896319,0.013380693781501495,0.3117593238209505,0.12440950961758628,0.3477709664677315,0.10238091734365318,0.3493685648629111,0.08874668510292419,1271.642978003384,149.1536737387915,1271.642978003384,149.1536737387915,0.8439764326187551,0.010850075790751286,0.31004478151222015,0.12514191638835245,0.349055872409399,0.10080082534469037,0.34952473192862615,0.08988849755754519,,
sample graphwise,minimum_hop,uc,367,367,360,3717.7465940054494,576.5153883515256,98.09264305177112,13.678365556415407,8381.912806539509,1230.4176814689451,0.5078623241061047,0.032050570675372765,100.0,0.0,100.0,0.0,12584.24795640327,2156.5527912022967,27822.544959128067,4098.885146163426,3323.0326975476837,532.6714269295005,0.26485588832120516,0.010793467819476665,13.08174386920981,2.222959024066885,13.08174386920981,2.222959024066885,0.15095024129141996,0.01186345749889766,0.3559774209305487,0.056145244156128774,0.3668750327831669,0.07655018376204395,0.36776410904756174,0.06012662428191438,126.33242506811989,21.628359885570454,126.33242506811989,21.628359885570454,0.4810959164922189,0.024999324220919505,0.3376304922935868,0.11026254473678279,0.36353493122082714,0.09045806415034419,0.3654135830896896,0.08125594289574588,629.6757493188011,107.8822449951866,629.6757493188011,107.8822449951866,0.7286341086246261,0.010042800331214808,0.33488880789340447,0.11129896553441862,0.3659417139221849,0.09295564034112896,0.3643861106720047,0.08234882049835947,1258.8719346049047,215.7095192110762,1258.8719346049047,215.7095192110762,0.8441667407604352,0.008549334740796298,0.33290175097372576,0.1136891855835732,0.36607293091011295,0.09312507536237355,0.3646309641697698,0.08357843725856821,,
sample graphwise,minimum_hop,nonibd,359,359,357,3738.5069637883007,360.92533403484305,99.44289693593315,7.443113769296591,8485.537604456824,749.1213632189581,0.5058685915100457,0.03255946136111585,100.0,0.0,100.0,0.0,12733.724233983286,1471.210338424201,28185.231197771587,2527.957056537002,3335.5181058495823,357.89835951649957,0.26231199650138287,0.008169473067428218,13.24791086350975,1.5539830512367274,13.24791086350975,1.5539830512367274,0.15168727012515654,0.01069840431804574,0.37323449656021557,0.06660553830440245,0.3957226801682145,0.08049468296453736,0.39163349410069515,0.06344025173446002,127.83286908077994,14.75897084688439,127.83286908077994,14.75897084688439,0.4811268019084203,0.019694402467975877,0.3789323199702802,0.11383526875057991,0.4038470715715135,0.0910342452972631,0.4012233353340717,0.08128363579243657,637.150417827298,73.5796590941814,637.150417827298,73.5796590941814,0.7304823178978093,0.007209756660780035,0.3826921520189646,0.11621078944556984,0.4059112473284877,0.09412220972322466,0.4022289815395297,0.08311331272773623,1273.8022284122562,147.14411254195124,1273.8022284122562,147.14411254195124,0.8463322478711671,0.006254058532548579,0.38171372602983833,0.11719854371665099,0.405936908646629,0.09312394101855818,0.40268413597381997,0.08409520695158895,,
sample graphwise,minimax,overall,1317,1317,1306,3746.5466970387242,429.2483961026159,99.16476841305999,9.100854184645481,8477.148823082764,869.5320785103904,0.5077773957854899,0.03370362205536211,100.0,0.0,100.0,0.0,12682.284738041002,1699.356527962646,39450.44039483675,4687.292069522076,3472.310554290053,427.50073952636916,0.27451972950464626,0.011400954773231942,13.183750949126804,1.7660280798085348,13.183750949126804,1.7660280798085348,0.17164206827946576,0.02662432934785091,0.07160881388588147,0.07819561626476672,0.11435240806973311,0.07780256878568104,0.10155506483915548,0.07507768257632434,127.32953682611996,17.031637473603144,127.32953682611996,17.031637473603144,0.5122441082789745,0.03197136012438745,0.16994422095761016,0.10770984368958755,0.22446073487852886,0.08943508942021357,0.18264494287838495,0.08396926523921573,634.5747911921032,84.99448319703663,634.5747911921032,84.99448319703663,0.7813085930269006,0.01530100904852255,0.20578424514671734,0.12012045312345201,0.2518504530930753,0.09407169338802528,0.20443450218635037,0.08502918387338589,1268.672741078208,169.96886568130842,1268.672741078208,169.96886568130842,0.8734460455058107,0.009467228688490538,0.23819148776836832,0.12592595705310983,0.28663957541810975,0.09531034212146121,0.21652552242728443,0.08613305297963085,,
sample graphwise,minimax,cd,591,591,589,3769.3147208121827,352.13420247327184,99.66159052453469,5.807445787387653,8531.192893401016,628.7111625424691,0.508882436415222,0.03528297033555994,100.0,0.0,100.0,0.0,12711.91708967851,1491.3159333595406,39961.862944162436,3730.8645332749434,3493.6294416243654,362.0790264576702,0.27573095931234054,0.012861172973070302,13.208121827411167,1.550831344778205,13.208121827411167,1.550831344778205,0.17270872980556431,0.02824212787643171,0.05790742534122416,0.07086795675540923,0.10028244132419428,0.07452449906356674,0.08736302467089417,0.07041716479355276,127.6429780033841,14.924495153890495,127.6429780033841,14.924495153890495,0.5113750692397157,0.033678069353879785,0.142823459350097,0.1017127465989719,0.20360344582638806,0.08742772205420533,0.16353241572589178,0.08088319449592989,636.0524534686971,74.57309265950305,636.0524534686971,74.57309265950305,0.7817695256926872,0.01647232754838364,0.1774600997894025,0.11631640907065857,0.23085140688283176,0.09329635688021218,0.1850181895962191,0.0826074400519302,1271.642978003384,149.1536737387915,1271.642978003384,149.1536737387915,0.87348548080252,0.009927029805331757,0.20849358442863414,0.12474504133090777,0.2659613542168952,0.0951694083954284,0.1969835110710902,0.08392076338068982,,
sample graphwise,minimax,uc,367,367,360,3717.7465940054494,576.5153883515256,98.09264305177112,13.678365556415407,8381.912806539509,1230.4176814689451,0.5078623241061047,0.032050570675372765,100.0,0.0,100.0,0.0,12584.24795640327,2156.5527912022967,39228.24523160763,6289.618806851635,3446.291553133515,554.0174300659987,0.2746608667818699,0.011322449090150146,13.08174386920981,2.222959024066885,13.08174386920981,2.222959024066885,0.17206677485509952,0.0264728167709535,0.06354533018288833,0.069783815154208,0.10699397199170634,0.07298964672427803,0.09647251884834437,0.07172145456857926,126.33242506811989,21.628359885570454,126.33242506811989,21.628359885570454,0.5146921317948692,0.03292223004431293,0.1652722876946755,0.09618052322951165,0.2220868880931592,0.08266146461343515,0.17955347494044824,0.07849684024587583,629.6757493188011,107.8822449951866,629.6757493188011,107.8822449951866,0.7825185920906687,0.01564021001927495,0.20319671462599515,0.11159742002054816,0.24898015493118486,0.08731041917858845,0.20071406505351552,0.07900055153942451,1258.8719346049047,215.7095192110762,1258.8719346049047,215.7095192110762,0.8740472826428566,0.009927506533146608,0.23864909671507387,0.11646408161420088,0.2843664772680285,0.0894836289616352,0.21292066394664938,0.08026842379976336,,
sample graphwise,minimax,nonibd,359,359,357,3738.5069637883007,360.92533403484305,99.44289693593315,7.443113769296591,8485.537604456824,749.1213632189581,0.5058685915100457,0.03255946136111585,100.0,0.0,100.0,0.0,12733.724233983286,1471.210338424201,38835.66295264624,4047.915954122053,3463.813370473538,373.27784873475866,0.2723790466572163,0.008142871436550533,13.24791086350975,1.5539830512367274,13.24791086350975,1.5539830512367274,0.16945395061531962,0.02374182357277562,0.10234543009283018,0.08861082474001217,0.1449861542916155,0.07930503024956433,0.13009519989741294,0.0779700950123537,127.83286908077994,14.75897084688439,127.83286908077994,14.75897084688439,0.511209305837522,0.027689822039777004,0.21940087239033215,0.11118671111497933,0.26126613570330215,0.08764612562758227,0.21729538251557182,0.08350920286440217,637.150417827298,73.5796590941814,637.150417827298,73.5796590941814,0.779327951561621,0.012505406187591335,0.25512439249382773,0.11890986318154564,0.28939035661160184,0.09044760693010923,0.2402203998989773,0.08354861493609374,1273.8022284122562,147.14411254195124,1273.8022284122562,147.14411254195124,0.8727746932394288,0.008068209422069081,0.28672741450867484,0.12184995160959756,0.32304794410590976,0.09043174309231629,0.2524022555976683,0.08422213432135811,,
participant average,minimum_hop,overall,106,106,106,3750.93456947641,188.86165073505524,99.23509973756074,3.0122818702738536,8481.089795219556,298.8416261329618,0.5074854117055047,0.018866448181210846,100.0,0.0,100.0,0.0,12698.988418766612,869.4918787876146,28162.56406960723,991.5448498373579,3344.3730411291026,191.8692661383887,0.26406675485975084,0.00531982311191715,13.198046335686945,0.8911555407782658,13.198046335686945,0.8911555407782658,0.1513414082386891,0.004437662986970279,0.3571277047402061,0.03606966991571306,0.37326271202142947,0.054168285445011975,0.3725313574796665,0.044228296963642805,127.5014924172124,8.708163400735142,127.5014924172124,8.708163400735142,0.4806096289009368,0.011626125955877644,0.3421684654185953,0.09588309777273547,0.37010710226468013,0.07315361802263395,0.37078006085126586,0.06460815815947116,635.4112085302132,43.47618215546978,635.4112085302132,43.47618215546978,0.7291961191628192,0.004392629456434319,0.34192316020645713,0.10223197581708873,0.37176855471510545,0.0786951679935807,0.3706771274182901,0.06830789131400875,1270.3478533829896,86.95742529180117,1270.3478533829896,86.95742529180117,0.8448103215421717,0.0041158426490142865,0.34029596582132554,0.10299199985775574,0.372431442466852,0.07758351278053881,0.3710062518318181,0.0692877229496251,12.424528301886792,5.259220318869191
participant average,minimum_hop,cd,50,50,50,3765.552897793581,201.021870785142,99.6,2.8000000000000003,8524.507438278128,298.7260960036792,0.5083729238321919,0.022050115891233305,100.0,0.0,100.0,0.0,12694.097231177013,920.9384018202826,28299.91286278105,1006.7856862358685,3349.276459442063,205.15310887890718,0.26471985700047557,0.00610556343988808,13.19389167377544,0.9497148345970751,13.19389167377544,0.9497148345970751,0.15133162065296246,0.004998628806447325,0.34959361659659527,0.03521692214749673,0.36361634090452655,0.05492642682763654,0.36325403825122954,0.043351264598513614,127.47358051330073,9.22358057308311,127.47358051330073,9.22358057308311,0.47935508989034764,0.013140442321822344,0.321734373301856,0.10928941112488391,0.35446173372779854,0.08210876617932393,0.3560690365224845,0.071525909144564,635.1696690422543,46.05885470901246,635.1696690422543,46.05885470901246,0.7284279381123672,0.005185554058739794,0.3215461164667592,0.11671798316485069,0.3565568099262099,0.08895946135703396,0.35627838452937605,0.07625993801903129,1269.864471773519,92.10861269651139,1269.864471773519,92.10861269651139,0.8440923350169913,0.004853313340512343,0.3194808303301126,0.11813871677328898,0.35763540841002245,0.08816696226719627,0.35664507375127535,0.07766235815245273,11.82,4.8070365091186895
