level,mode,path_set,cond,n,n_total,n_valid,n_active_vertices_mean,n_active_vertices_sd,n_active_edges_mean,n_active_edges_sd,n_source_requested_mean,n_source_requested_sd,n_target_requested_per_source_mean,n_target_requested_per_source_sd,long_min_hop_mean,long_min_hop_sd,n_sources_sampled_mean,n_sources_sampled_sd,n_ordered_source_target_pairs_mean,n_ordered_source_target_pairs_sd,mean_reachable_fraction_sampled_sources_mean,mean_reachable_fraction_sampled_sources_sd,n_paths_mean,n_paths_sd,path_length_q1_mean,path_length_q1_sd,path_length_q5_mean,path_length_q5_sd,path_length_q10_mean,path_length_q10_sd,path_length_q20_mean,path_length_q20_sd,path_length_q30_mean,path_length_q30_sd,path_length_q50_mean,path_length_q50_sd,path_length_q70_mean,path_length_q70_sd,path_length_q80_mean,path_length_q80_sd,path_length_q90_mean,path_length_q90_sd,path_length_q95_mean,path_length_q95_sd,path_length_q99_mean,path_length_q99_sd,path_length_mean_mean,path_length_mean_sd,path_length_sd_mean,path_length_sd_sd,bottleneck_w_q1_mean,bottleneck_w_q1_sd,bottleneck_w_q5_mean,bottleneck_w_q5_sd,bottleneck_w_q10_mean,bottleneck_w_q10_sd,bottleneck_w_q20_mean,bottleneck_w_q20_sd,bottleneck_w_q30_mean,bottleneck_w_q30_sd,bottleneck_w_q50_mean,bottleneck_w_q50_sd,bottleneck_w_q70_mean,bottleneck_w_q70_sd,bottleneck_w_q80_mean,bottleneck_w_q80_sd,bottleneck_w_q90_mean,bottleneck_w_q90_sd,bottleneck_w_q95_mean,bottleneck_w_q95_sd,bottleneck_w_q99_mean,bottleneck_w_q99_sd,bottleneck_w_mean_mean,bottleneck_w_mean_sd,bottleneck_w_sd_mean,bottleneck_w_sd_sd,min_support_q1_mean,min_support_q1_sd,min_support_q5_mean,min_support_q5_sd,min_support_q10_mean,min_support_q10_sd,min_support_q20_mean,min_support_q20_sd,min_support_q30_mean,min_support_q30_sd,min_support_q50_mean,min_support_q50_sd,min_support_q70_mean,min_support_q70_sd,min_support_q80_mean,min_support_q80_sd,min_support_q90_mean,min_support_q90_sd,min_support_q95_mean,min_support_q95_sd,min_support_q99_mean,min_support_q99_sd,min_support_mean_mean,min_support_mean_sd,min_support_sd_mean,min_support_sd_sd,mean_w2_q1_mean,mean_w2_q1_sd,mean_w2_q5_mean,mean_w2_q5_sd,mean_w2_q10_mean,mean_w2_q10_sd,mean_w2_q20_mean,mean_w2_q20_sd,mean_w2_q30_mean,mean_w2_q30_sd,mean_w2_q50_mean,mean_w2_q50_sd,mean_w2_q70_mean,mean_w2_q70_sd,mean_w2_q80_mean,mean_w2_q80_sd,mean_w2_q90_mean,mean_w2_q90_sd,mean_w2_q95_mean,mean_w2_q95_sd,mean_w2_q99_mean,mean_w2_q99_sd,mean_w2_mean_mean,mean_w2_mean_sd,mean_w2_sd_mean,mean_w2_sd_sd,n_samples_for_participant_mean,n_samples_for_participant_sd
sample graphwise,minimax,all,overall,1317,1317,1306,3746.5466970387242,429.2483961026159,12682.284738041002,1699.356527962646,100.0,0.0,100.0,0.0,4.0,0.0,99.16476841305999,9.100854184645481,8477.148823082764,869.5320785103904,0.5077773957854899,0.03370362205536211,8477.148823082764,869.5320785103904,2.0,0.0,2.0019142419601836,0.04146267528613249,2.9915773353751915,0.09138776365261693,3.0191424196018377,0.13702549899060706,3.6948698315467077,0.4602546301309085,4.23583460949464,0.42451931223343736,5.205130168453292,0.4363776374589372,5.921745788667688,0.5671200312663817,7.082235834609496,0.7857010171388548,8.18606431852986,1.0299390288817163,10.433568147013782,1.4978553766223055,4.654463652004662,0.28937499357397306,1.840635954846041,0.2950714452221257,0.06077949326775495,0.06498417367872505,0.12730122995210089,0.0998739507102829,0.18363175815391203,0.11999496408782849,0.25814767417660295,0.13457300078042547,0.3174757704722538,0.13922945924370714,0.4384929104055114,0.16002492388806488,0.5971722981142978,0.18404569720951358,0.6939674572361352,0.1776792207347154,0.813822691508553,0.1403936517798801,0.8896869397445085,0.10741121917372154,0.9609159083148788,0.055811037964753334,0.4699975855874733,0.12307190966545374,0.24088304442323358,0.05083287724395874,0.039084091685121156,0.055811037964753375,0.11031306025549131,0.10741121917372151,0.18617730849144698,0.1403936517798801,0.30603254276386493,0.17767922073471543,0.40282770188570205,0.18404569720951358,0.5615070895944886,0.16002492388806488,0.6825242295277462,0.13922945924370714,0.7418523258233971,0.13457300078042547,0.816368241846088,0.11999496408782848,0.872698770047899,0.09987395071028292,0.939220506732245,0.06498417367872504,0.5300024144125266,0.12307190966545374,0.24088304442323358,0.05083287724395874,0.003276234529757077,0.00795795132709933,0.00990958661527152,0.01829773985137146,0.017630333570382493,0.026617555571555256,0.0331459435141398,0.040192206169583425,0.05020300799879057,0.052351167549829776,0.09372173433976176,0.07478874893997955,0.16049871838474836,0.0987790862426964,0.2121202304654489,0.11217154478513552,0.29495122425066217,0.1272957671636581,0.37064728286459203,0.13560505696503072,0.5194267581586359,0.14682680433308806,0.12967810332178792,0.071476939574756,0.1196155232234176,0.0396351000428286,,
sample graphwise,minimax,all,cd,591,591,589,3769.3147208121827,352.13420247327184,12711.91708967851,1491.3159333595406,100.0,0.0,100.0,0.0,4.0,0.0,99.66159052453469,5.807445787387653,8531.192893401016,628.7111625424691,0.508882436415222,0.03528297033555994,8531.192893401016,628.7111625424691,2.0,0.0,2.00169779286927,0.041169289144251754,2.9915110356536503,0.09174367460853171,3.025466893039049,0.1575383458018614,3.768251273344652,0.42144608923521326,4.281833616298812,0.4498926861183074,5.235993208828523,0.4591956945161825,5.948726655348048,0.544288986508531,7.1179966044142615,0.7742121643131639,8.216383701188452,1.0356173140665645,10.428743633276738,1.4674426377977678,4.685265342888271,0.28467824570125194,1.847752807252265,0.2958511376565188,0.05084004576360887,0.061720017147391774,0.10656307614981105,0.09374513754004081,0.15615984383093875,0.11489587803225922,0.2261281011488334,0.13155978969126936,0.2860994473688961,0.13764497079729068,0.4092072057184238,0.16126966893563513,0.5698731103941228,0.19232463171392286,0.6711995132964396,0.1861488307922137,0.8025858123882121,0.14531178416789386,0.8872994257977518,0.10967680358126287,0.962831628275448,0.0539448608980218,0.4456625536638095,0.12442400712678783,0.2469972644853761,0.05071952153714111,0.037168371724551855,0.05394486089802177,0.11270057420224812,0.10967680358126286,0.19741418761178792,0.14531178416789386,0.32880048670356055,0.18614883079221373,0.4301268896058772,0.1923246317139229,0.5907927942815762,0.16126966893563513,0.713900552631104,0.13764497079729068,0.7738718988511666,0.13155978969126936,0.8438401561690613,0.1148958780322592,0.8934369238501889,0.09374513754004082,0.9491599542363911,0.06172001714739172,0.5543374463361905,0.12442400712678783,0.2469972644853761,0.05071952153714111,0.0026836082479459737,0.007695764093979604,0.0077213294377091075,0.01679977528335238,0.013800821758415528,0.0243301420848475,0.02638496925457638,0.03692678861137682,0.04090176250322885,0.048418649190163573,0.0802858425292609,0.07082401694540709,0.1440914055537254,0.0968771077002675,0.19443717409456981,0.11228204782839853,0.2773801500043545,0.1289805853021031,0.35476098826088437,0.13768556405251814,0.5068443132943262,0.14836891507182662,0.11780930524796178,0.06945480162068512,0.11634407910369168,0.040507398453638065,,
sample graphwise,minimax,all,uc,367,367,360,3717.7465940054494,576.5153883515256,12584.24795640327,2156.5527912022967,100.0,0.0,100.0,0.0,4.0,0.0,98.09264305177112,13.678365556415407,8381.912806539509,1230.4176814689451,0.5078623241061047,0.032050570675372765,8381.912806539509,1230.4176814689451,2.0,0.0,2.001388888888889,0.026315687946522802,2.9916666666666667,0.09090593428863096,3.022222222222222,0.14740554623801777,3.686111111111111,0.4640718202185818,4.258333333333334,0.43771819955562985,5.241388888888886,0.45847969043700076,5.986111111111111,0.6431920301545418,7.194166666666669,0.8791374402725001,8.338888888888889,1.1262715721889582,10.711111111111109,1.6790666682842543,4.68132492747334,0.3182894622852992,1.8884257785266363,0.32725771578690427,0.05575342503282403,0.05796633948838911,0.122103886806427,0.08823312277375528,0.1816657522188344,0.11021698797078107,0.2594607106263464,0.12644638302143754,0.3184157150556133,0.13310413958984926,0.43655561036797547,0.15580766739496368,0.595531147495757,0.1761209118787489,0.6903480718286117,0.16912463919046064,0.8028341198786134,0.14441442140850994,0.8728294040795126,0.11752329036555698,0.9492559486101183,0.0681782506885318,0.4667637422252074,0.11856890013396033,0.23728302137183946,0.05032039511645302,0.05074405138988178,0.06817825068853192,0.12717059592048732,0.11752329036555695,0.1971658801213866,0.14441442140850996,0.3096519281713883,0.16912463919046064,0.404468852504243,0.1761209118787489,0.5634443896320245,0.15580766739496368,0.6815842849443866,0.13310413958984926,0.7405392893736538,0.12644638302143757,0.8183342477811657,0.11021698797078104,0.8778961131935729,0.08823312277375528,0.944246574967176,0.05796633948838911,0.5332362577747927,0.11856890013396033,0.23728302137183946,0.05032039511645302,0.002704932963705052,0.006527328257569323,0.008642893361750963,0.015352917829893935,0.01615946146723455,0.0234757372703599,0.03152362190948442,0.03707493329024122,0.0483759930515646,0.04956854472317922,0.09133496077616778,0.07332480992618017,0.1574441481278185,0.09652335267762913,0.2083995487505229,0.1084340053832232,0.28907307058217757,0.12365565971105963,0.36157094763924336,0.13410995349289317,0.5046560882259952,0.14865390080460422,0.12646415154089946,0.06923155334117508,0.11690033796449796,0.039717168616125294,,
sample graphwise,minimax,all,nonibd,359,359,357,3738.5069637883007,360.92533403484305,12733.724233983286,1471.210338424201,100.0,0.0,100.0,0.0,4.0,0.0,99.44289693593315,7.443113769296591,8485.537604456824,749.1213632189581,0.5058685915100457,0.03255946136111585,8485.537604456824,749.1213632189581,2.0,0.0,2.0028011204481793,0.052851434913482376,2.991596638655462,0.0912838696739514,3.0056022408963585,0.07463816579537381,3.5826330532212887,0.4931245060989443,4.137254901960785,0.3441162504859656,5.117647058823529,0.35526777500800233,5.812324929971989,0.5032826981453327,6.910364145658264,0.6676428133526706,7.981932773109242,0.8747724256062206,10.161652661064428,1.2884774035316622,4.576558175536397,0.24921099036288535,1.7807027262962363,0.24521339871153058,0.08224649367256492,0.07159673954581924,0.16675729752070398,0.10884468958746328,0.23093909617312544,0.12311684553692516,0.309651414768896,0.1312481275747581,0.3682944658724452,0.13260134582002361,0.48876380136967806,0.14948355844744773,0.6438670762371489,0.16792112540056667,0.7351811763599141,0.1640443568483102,0.843442880832528,0.12259642971248821,0.910625198999518,0.08773636563871977,0.9695131812474796,0.04110291887919369,0.5134079985103128,0.11322453981489672,0.23442571299998405,0.0503865523780235,0.03048681875252032,0.04110291887919376,0.089374801000482,0.08773636563871975,0.15655711916747198,0.12259642971248827,0.2648188236400859,0.16404435684831023,0.35613292376285105,0.1679211254005667,0.511236198630322,0.1494835584474477,0.6317055341275548,0.13260134582002364,0.690348585231104,0.13124812757475807,0.7690609038268745,0.12311684553692516,0.833242702479296,0.1088446895874633,0.917753506327435,0.07159673954581924,0.48659200148968723,0.11322453981489672,0.23442571299998405,0.0503865523780235,0.004830087313413852,0.00936346315193358,0.014797242214295774,0.022092280342072265,0.025431724086858114,0.031180669734621604,0.04593655868657339,0.04507889933614032,0.06739112838502925,0.05691137906127246,0.11829590453382016,0.07653120782544047,0.19064872552751375,0.09722630890363643,0.2450467448066845,0.10843880460335995,0.32986858574010103,0.12103535275386523,0.406010050939408,0.12691457646592041,0.5550808231469523,0.13605228595178182,0.15250091762599918,0.07165211314872458,0.12775094977728219,0.036847777213667464,,
sample graphwise,minimax,long_hop_ge4,overall,1317,1317,1306,3746.5466970387242,429.2483961026159,12682.284738041002,1699.356527962646,100.0,0.0,100.0,0.0,4.0,0.0,99.16476841305999,9.100854184645481,8477.148823082764,869.5320785103904,0.5077773957854899,0.03370362205536211,3238.195140470767,422.577326292127,4.0,0.0,4.0,0.0,4.0,0.0,4.029709035222052,0.16942224459254235,4.382848392036753,0.4860817840154327,5.038284839203675,0.26553675600575216,5.873353751914242,0.5201989772496276,6.519908116385912,0.627339351792779,7.625421133231241,0.8648823351074716,8.70884379785605,1.112366224430963,10.853522205206735,1.616965186668357,5.48105746233075,0.327611507959037,1.6057359139200587,0.32981110291713905,0.09555534758069195,0.08539778659893382,0.1755464054271523,0.11534430806800064,0.23129475863152504,0.128592998296536,0.3057494703088669,0.13637930667619486,0.36675752667504957,0.1463938458255397,0.49216674694698154,0.17024607084633844,0.6485146760914253,0.183715551147228,0.735561586679041,0.1695822660199446,0.8337209764186979,0.1367460893836913,0.8944954117415517,0.10604179744443946,0.9595160919082745,0.05645492127744704,0.5136840819733435,0.1250224459671299,0.23291160058270913,0.054242695463431294,0.04048390809172544,0.056454921277446994,0.10550458825844812,0.10604179744443942,0.16627902358130206,0.1367460893836913,0.264438413320959,0.16958226601994464,0.35148532390857457,0.18371555114722798,0.5078332530530185,0.17024607084633847,0.6332424733249504,0.14639384582553971,0.6942505296911332,0.13637930667619483,0.768705241368475,0.128592998296536,0.8244535945728478,0.11534430806800064,0.9044446524193079,0.08539778659893385,0.4863159180266565,0.1250224459671299,0.23291160058270913,0.05424269546343129,0.006014347572161538,0.013203549140267232,0.015018338623211357,0.0242292891885905,0.02426461027357502,0.03279045018650787,0.04179791970240027,0.04578542889549449,0.0601620676543839,0.05673167202033028,0.1046388693280694,0.07676980519692517,0.16815700438117342,0.097647695108067,0.21444841490467406,0.10855950396767429,0.2856431009517836,0.12191984675543424,0.34791688672846255,0.13130363781497773,0.4628083939114792,0.144393869880773,0.13326450355404748,0.07299952471241744,0.10788149138703977,0.037489318332764615,,
sample graphwise,minimax,long_hop_ge4,cd,591,591,589,3769.3147208121827,352.13420247327184,12711.91708967851,1491.3159333595406,100.0,0.0,100.0,0.0,4.0,0.0,99.66159052453469,5.807445787387653,8531.192893401016,628.7111625424691,0.508882436415222,0.03528297033555994,3252.6192893401017,359.01566721583663,4.0,0.0,4.0,0.0,4.0,0.0,4.043803056027165,0.20399191516028947,4.465195246179966,0.49878715812611574,5.054329371816638,0.2802541294663952,5.914431239388795,0.5030422463756911,6.567062818336163,0.6175159981234549,7.664006791171477,0.8551818916848003,8.733616298811542,1.1223492803502713,10.863820033955854,1.5971222555024998,5.515962319167697,0.3223190933223056,1.6088761020113982,0.33073943130849814,0.0792414601238977,0.07747401595946189,0.14943420413732056,0.10890238734366416,0.20035479512426313,0.12455025208403493,0.2766607703212633,0.13514875751403965,0.3382499719228455,0.14640081746820582,0.46755805661435396,0.17292721665082847,0.6296004667191224,0.19207888625625846,0.7256362784738885,0.17560017334923275,0.8277096509721925,0.14283637835777582,0.8907769203712912,0.11085555188020162,0.9616276811678395,0.05431381178799512,0.4933174610255762,0.12679724096213185,0.2416235257703349,0.05435399134040637,0.03837231883216049,0.05431381178799508,0.10922307962870874,0.11085555188020156,0.1722903490278075,0.14283637835777582,0.2743637215261117,0.17560017334923275,0.3703995332808776,0.19207888625625844,0.532441943385646,0.17292721665082847,0.6617500280771544,0.14640081746820582,0.7233392296787368,0.13514875751403965,0.799645204875737,0.12455025208403492,0.8505657958626794,0.10890238734366416,0.9207585398761022,0.07747401595946198,0.5066825389744237,0.12679724096213185,0.24162352577033486,0.05435399134040637,0.004604581594207203,0.011689502999671036,0.011668643388316621,0.02122972956274737,0.019076346473709697,0.029089575927294203,0.034076823222592284,0.0415529997562976,0.05030608983225919,0.05224200825786346,0.09199199763177487,0.07360671968795282,0.15385141430349938,0.09721518428840945,0.1998758206376781,0.10938029816846424,0.2717457512456122,0.12469744524034407,0.33506600380873663,0.13465637869342573,0.45159380222991663,0.14768457218956613,0.12229223493730822,0.07139856303599888,0.10568415966470344,0.03891270355889759,,
sample graphwise,minimax,long_hop_ge4,uc,367,367,360,3717.7465940054494,576.5153883515256,12584.24795640327,2156.5527912022967,100.0,0.0,100.0,0.0,4.0,0.0,98.09264305177112,13.678365556415407,8381.912806539509,1230.4176814689451,0.5078623241061047,0.032050570675372765,3206.3133514986375,534.9742537912995,4.0,0.0,4.0,0.0,4.0,0.0,4.027777777777778,0.16433554953054486,4.363888888888889,0.4811172055041253,5.0472222222222225,0.2798671422013499,5.894444444444445,0.5476943817517842,6.563888888888889,0.6635982627471139,7.721111111111112,0.9520147576405711,8.843333333333334,1.2139513078281918,11.095027777777778,1.7793158795526987,5.5052194123241796,0.3531859280081134,1.6549703332242904,0.35946602313394416,0.09157445073000549,0.07764096345607122,0.1751108286090247,0.10616747550471009,0.2350836100821694,0.12094773859852025,0.3060782145487652,0.1320196920623821,0.3655975811397768,0.1430339786799592,0.4868875493464194,0.16869077436675395,0.6415685480561366,0.17787467284698946,0.7228477965915345,0.16673897720631203,0.820499022432421,0.13847468510157523,0.8810033713247978,0.11303168697324753,0.9472568681337824,0.0687786707750881,0.5082028486670122,0.12280981870184497,0.2276484079879088,0.05332870579380266,0.052743131866217714,0.06877867077508802,0.11899662867520197,0.11303168697324747,0.179500977567579,0.13847468510157526,0.27715220340846547,0.16673897720631203,0.35843145194386344,0.17787467284698946,0.5131124506535806,0.16869077436675398,0.6344024188602231,0.1430339786799592,0.6939217854512348,0.13201969206238207,0.7649163899178306,0.12094773859852025,0.8248891713909752,0.1061674755047101,0.9084255492699944,0.07764096345607123,0.49179715133298796,0.12280981870184497,0.2276484079879088,0.05332870579380266,0.005173297266122819,0.011229539930851606,0.013819300064995328,0.021868660910241863,0.023031128516278237,0.030393523860628328,0.04012211234171711,0.043105617832754066,0.05782785582220632,0.054464673334033535,0.10172538358168078,0.07522365616062063,0.16475849444054888,0.09524183683038943,0.2099686045074757,0.10649704315229065,0.2794286798706593,0.11929405309133793,0.33926816765121054,0.12876244364211162,0.4507264175263857,0.14436715830969155,0.12982998403761462,0.07100173546339893,0.10558849485112438,0.03751941923452829,,
sample graphwise,minimax,long_hop_ge4,nonibd,359,359,357,3738.5069637883007,360.92533403484305,12733.724233983286,1471.210338424201,100.0,0.0,100.0,0.0,4.0,0.0,99.44289693593315,7.443113769296591,8485.537604456824,749.1213632189581,0.5058685915100457,0.03255946136111585,3247.041782729805,385.83886245512633,4.0,0.0,4.0,0.0,4.0,0.0,4.008403361344538,0.0912838696739514,4.266106442577031,0.44192058539519086,5.002801120448179,0.2181999114190526,5.784313725490196,0.5087254267673498,6.397759103641457,0.5882086161750897,7.465266106442578,0.7606375398325348,8.53235294117647,0.9549059870269819,10.59299719887955,1.4272049558443074,5.399104345595186,0.29348235422144175,1.5509068894513685,0.2858050751822618,0.12648532679161334,0.09636166524578005,0.21906711751184946,0.12131910816240239,0.2785206745518199,0.12776661629528055,0.3534102444442595,0.12908461723978537,0.41496069233820476,0.13690394384449567,0.5380912000061415,0.15767363513070676,0.6867249713659086,0.16910619777706665,0.7647575837780249,0.1584843500249144,0.8569718843264049,0.12097089375902693,0.9142358206130221,0.08591874390858437,0.9683945078324578,0.04224217319018178,0.5528134481596579,0.11489319826424729,0.22384556528471627,0.05278377698345741,0.03160549216754208,0.042242173190181725,0.08576417938697786,0.08591874390858437,0.1430281156735952,0.12097089375902696,0.2352424162219752,0.15848435002491443,0.31327502863409135,0.1691061977770666,0.4619087999938586,0.15767363513070676,0.5850393076617952,0.1369039438444957,0.6465897555557406,0.12908461723978537,0.72147932544818,0.12776661629528055,0.7809328824881505,0.12131910816240242,0.8735146732083866,0.09636166524578003,0.44718655184034206,0.11489319826424729,0.22384556528471627,0.05278377698345741,0.009188381945240085,0.016464668374000867,0.021753981128283542,0.029264863035942414,0.03406836604597703,0.03825845547872482,0.05622653728350066,0.051351937187479484,0.078776877729497,0.061380877081828676,0.12844240517629735,0.07795057617876838,0.1951862932729797,0.09519566465214734,0.2430086103283493,0.10368711871433561,0.31483842466646045,0.11473025202346603,0.3778404410912898,0.12325822877591334,0.4934944051133672,0.13407194303504785,0.15483059106434235,0.07297137146375679,0.11381904639372221,0.03428160127550778,,
sample graphwise,minimum_hop,all,overall,1317,1317,1306,3746.5466970387242,429.2483961026159,12682.284738041002,1699.356527962646,100.0,0.0,100.0,0.0,4.0,0.0,99.16476841305999,9.100854184645481,8477.148823082764,869.5320785103904,0.5077773957854899,0.03370362205536211,8477.148823082764,869.5320785103904,1.996937212863706,0.05525763722103742,2.0,0.0,2.003062787136294,0.05525763722103742,3.0,0.0,3.0,0.0,3.001531393568147,0.03910304849863308,3.996554364471669,0.05694153956575383,4.0,0.0,4.107350689127106,0.3093606425930574,4.918797856049005,0.2730787160719666,5.297817764165391,0.45994879586167353,3.320414012626023,0.06642575293205344,0.8389285749700842,0.04120949058676914,0.13281869995758755,0.09668006394459833,0.2652855418053288,0.11266364453944026,0.33012124162345646,0.10714582491205916,0.3944881148636275,0.11110191828247609,0.44785088232536385,0.1287425997479542,0.5747003988134821,0.16325327290731717,0.7202824950645905,0.1639203831631028,0.7987875806769265,0.14246408366749075,0.8883453366646686,0.10334923196350133,0.9359709653870009,0.07197091831687338,0.977532258568291,0.037721756595039645,0.5878609287721367,0.11066242557838556,0.22060669354234033,0.044214345637657325,0.02246774143170892,0.03772175659503965,0.06402903461299922,0.07197091831687336,0.11165466333533146,0.10334923196350136,0.20121241932307352,0.14246408366749078,0.27971750493540937,0.16392038316310278,0.4252996011865178,0.16325327290731717,0.5521491176746361,0.12874259974795424,0.6055118851363726,0.11110191828247609,0.6698787583765436,0.10714582491205916,0.7347144581946711,0.11266364453944025,0.8671813000424122,0.09668006394459838,0.4121390712278634,0.11066242557838556,0.22060669354234033,0.044214345637657325,0.015103628405373997,0.02306053372971395,0.04231405713000116,0.04179892666823194,0.06136970376058148,0.05144097356000968,0.08939747936764249,0.06451887002197533,0.1165464461759466,0.07590126263899157,0.1787024177787784,0.0956135240634575,0.2587597391499614,0.11113066071768862,0.31325318487195,0.11729657079089699,0.39381676697979856,0.12387604268890778,0.4634229934739055,0.12898896565771692,0.6058057735768859,0.14171885862272193,0.2067209268561945,0.0863239676920808,0.13549405248012084,0.035554403400941695,,
sample graphwise,minimum_hop,all,cd,591,591,589,3769.3147208121827,352.13420247327184,12711.91708967851,1491.3159333595406,100.0,0.0,100.0,0.0,4.0,0.0,99.66159052453469,5.807445787387653,8531.192893401016,628.7111625424691,0.508882436415222,0.03528297033555994,8531.192893401016,628.7111625424691,1.99660441426146,0.058172637348087655,2.0,0.0,2.0033955857385397,0.05817263734808765,3.0,0.0,3.0,0.0,3.0033955857385397,0.05817263734808765,3.997453310696095,0.045997341881643686,4.0,0.0,4.103565365025467,0.3046958814828462,4.911629881154499,0.2836903166825448,5.291697792869269,0.46167095604874764,3.3200072702173915,0.06843788082097255,0.8390557844205849,0.0422304272520609,0.11505376112952834,0.09117840857567966,0.23878642093071623,0.11298001162479447,0.30739914159709486,0.10657105828306547,0.37553178554710026,0.1082258250826644,0.4273865689741411,0.12604926253740845,0.552671262769247,0.16870008055113597,0.6997369420282338,0.17190139756274486,0.78429145893324,0.14855332091724557,0.8847786090351271,0.10498781954442155,0.9364403767779372,0.07227164839977851,0.9779737780739821,0.04204541653937541,0.5700952156090331,0.11297358645066251,0.22658147265958906,0.04347681960259849,0.022026221926017976,0.042045416539375456,0.06355962322206252,0.07227164839977851,0.11522139096487297,0.10498781954442159,0.21570854106676007,0.14855332091724557,0.3002630579717663,0.1719013975627448,0.447328737230753,0.16870008055113597,0.5726134310258589,0.12604926253740847,0.6244682144528998,0.1082258250826644,0.6926008584029052,0.10657105828306547,0.7612135790692837,0.11298001162479449,0.8849462388704716,0.09117840857567965,0.429904784390967,0.11297358645066251,0.22658147265958906,0.043476819602598485,0.01213342385715931,0.021192838913180946,0.03529650582693394,0.03911511421716953,0.0526961541916251,0.04831828838276575,0.0784805762006534,0.060916771316334356,0.10393444662241955,0.07275885881207886,0.16352089916374546,0.09508759733858446,0.24206735856526782,0.11309566536189009,0.2980605916648023,0.11953458177496822,0.3815027676463723,0.12557623905926432,0.451813227084184,0.13039758735785165,0.5964954909256692,0.14410671168335734,0.19378508178267087,0.08576807034878324,0.1346616380158278,0.03636366060423889,,
