level,cond,step,n,k_max_mean,k_max_sd,n_active_vertices_mean,n_active_vertices_sd,n_active_edges_mean,n_active_edges_sd,n_sources_sampled_mean,n_sources_sampled_sd,n_baseline_pairs_mean,n_baseline_pairs_sd,n_source_requested_mean,n_source_requested_sd,n_target_requested_per_source_mean,n_target_requested_per_source_sd,length_failure_value_mean,length_failure_value_sd,mean_reachable_fraction_sampled_sources_mean,mean_reachable_fraction_sampled_sources_sd,step_mean,step_sd,n_pairs_mean,n_pairs_sd,reachable_count_mean,reachable_count_sd,reachable_fraction_mean,reachable_fraction_sd,failure_fraction_mean,failure_fraction_sd,finite_path_length_mean_mean,finite_path_length_mean_sd,finite_path_length_median_mean,finite_path_length_median_sd,finite_path_length_max_mean,finite_path_length_max_sd,finite_bottleneck_w_mean_mean,finite_bottleneck_w_mean_sd,finite_bottleneck_w_median_mean,finite_bottleneck_w_median_sd,finite_mean_w2_mean_mean,finite_mean_w2_mean_sd,finite_mean_w2_median_mean,finite_mean_w2_median_sd,penalized_path_length_mean_mean,penalized_path_length_mean_sd,penalized_path_length_median_mean,penalized_path_length_median_sd,penalized_bottleneck_w_mean_mean,penalized_bottleneck_w_mean_sd,penalized_bottleneck_w_median_mean,penalized_bottleneck_w_median_sd,penalized_mean_w2_mean_mean,penalized_mean_w2_mean_sd,penalized_mean_w2_median_mean,penalized_mean_w2_median_sd,n_samples_for_participant_mean,n_samples_for_participant_sd
sample graphwise,overall,0,1306,8.0,0.0,3778.102603369066,258.04000641178845,12789.10336906585,1243.3909973601899,10.0,0.0,173.27871362940274,20.11742991538385,10.0,0.0,20.0,0.0,25.0,0.0,0.50891277656578,0.07007946794462293,0.0,0.0,173.27871362940274,20.11742991538385,173.27871362940274,20.11742991538385,1.0,0.0,0.0,0.0,4.603791904399593,0.5233727429099381,4.3242725880551305,0.5453552721508009,10.554364471669219,2.2054922607398497,0.4682380774589104,0.13383209311755923,0.44551459441137187,0.17642147321904392,0.13027478762218156,0.0795593619019944,0.09868738121950513,0.08331413880024159,4.603791904399593,0.5233727429099381,4.3242725880551305,0.5453552721508009,0.4682380774589104,0.13383209311755923,0.44551459441137187,0.17642147321904392,0.13027478762218156,0.0795593619019944,0.09868738121950513,0.08331413880024159,,
sample graphwise,cd,0,589,8.0,0.0,3782.1137521222413,275.7030136693522,12755.081494057726,1296.5375347814881,10.0,0.0,173.42275042444822,19.80858036136408,10.0,0.0,20.0,0.0,25.0,0.0,0.5096922429413099,0.07028385855236322,0.0,0.0,173.42275042444822,19.80858036136408,173.42275042444822,19.80858036136408,1.0,0.0,0.0,0.0,4.645257188507069,0.49651844765940883,4.355687606112054,0.5360255019519371,10.602716468590831,2.174491589643422,0.4452351436024112,0.13651398233816248,0.41990259201739216,0.17989915352170036,0.11942541832888899,0.07948183260644752,0.08627647916763263,0.08200958207648634,4.645257188507069,0.49651844765940883,4.355687606112054,0.5360255019519371,0.4452351436024112,0.13651398233816248,0.41990259201739216,0.17989915352170036,0.11942541832888899,0.07948183260644752,0.08627647916763263,0.08200958207648634,,
sample graphwise,uc,0,360,8.0,0.0,3790.036111111111,254.6622519826536,12828.941666666668,1265.6971484510907,10.0,0.0,174.0861111111111,20.36829852679264,10.0,0.0,20.0,0.0,25.0,0.0,0.5120774235043277,0.0705049800814331,0.0,0.0,174.0861111111111,20.36829852679264,174.0861111111111,20.36829852679264,1.0,0.0,0.0,0.0,4.645232157387151,0.5816576203149256,4.355555555555555,0.5663942700414637,10.866666666666667,2.377907576934908,0.46614423687978507,0.13045659802241621,0.44357432663668106,0.17641761642081266,0.12774011640694652,0.07746778800226967,0.09611265745082583,0.08168744973819701,4.645232157387151,0.5816576203149256,4.355555555555555,0.5663942700414637,0.46614423687978507,0.13045659802241621,0.44357432663668106,0.17641761642081266,0.12774011640694652,0.07746778800226967,0.09611265745082583,0.08168744973819701,,
sample graphwise,nonibd,0,357,8.0,0.0,3759.450980392157,228.6020136619521,12805.06162464986,1123.8798876235144,10.0,0.0,172.2268907563025,20.322788870513335,10.0,0.0,20.0,0.0,25.0,0.0,0.5044355256048159,0.06908204308039745,0.0,0.0,172.2268907563025,20.322788870513335,172.2268907563025,20.322788870513335,1.0,0.0,0.0,0.0,4.493591502677393,0.48728409103442194,4.240896358543417,0.5300042628792839,10.159663865546218,2.008315458151583,0.5083011325008238,0.12301199742306289,0.4897273837921635,0.16137106141763607,0.15073069840995162,0.0778595104472313,0.12175999148638873,0.08230784109235309,4.493591502677393,0.48728409103442194,4.240896358543417,0.5300042628792839,0.5083011325008238,0.12301199742306289,0.4897273837921635,0.16137106141763607,0.15073069840995162,0.0778595104472313,0.12175999148638873,0.08230784109235309,,
sample graphwise,overall,1,1306,8.0,0.0,3778.102603369066,258.04000641178845,12789.10336906585,1243.3909973601899,10.0,0.0,173.27871362940274,20.11742991538385,10.0,0.0,20.0,0.0,25.0,0.0,0.50891277656578,0.07007946794462293,1.0,0.0,173.27871362940274,20.11742991538385,149.82159264931087,26.810854569212488,0.8632964304682887,0.10786034864846607,0.13670356953171123,0.10786034864846607,5.294580540093788,0.6431432095022476,4.990428790199081,0.6781598152169634,10.874425727411944,2.3911856099446567,0.4889510589457387,0.13704765045361694,0.46931211914830306,0.18007220747493063,0.13072316244721774,0.08058697966101569,0.10476955848403577,0.08424321776003171,7.992777183015307,2.1716686978821156,5.457886676875957,1.4254533056241037,0.5578125237802888,0.13411042117212796,0.5310016642036417,0.19879074679839756,0.24907626076724607,0.11963497461562836,0.13334649509482818,0.11232676792897085,,
sample graphwise,cd,1,589,8.0,0.0,3782.1137521222413,275.7030136693522,12755.081494057726,1296.5375347814881,10.0,0.0,173.42275042444822,19.80858036136408,10.0,0.0,20.0,0.0,25.0,0.0,0.5096922429413099,0.07028385855236322,1.0,0.0,173.42275042444822,19.80858036136408,150.64006791171477,26.92786359305895,0.8670232903759465,0.10810128722600709,0.13297670962405347,0.10810128722600709,5.340454671362308,0.6288361935266589,5.049235993208828,0.6450439979162527,10.925297113752123,2.3836999792005216,0.4676675156280327,0.13891065965879917,0.4452823778964071,0.18347181905550805,0.11976771388995683,0.07827356007339795,0.09238818186825982,0.0806852828085118,7.960451648544881,2.158711024424997,5.4465195246179965,0.9513330518777429,0.5375277170294906,0.13567573377067887,0.5099269597566681,0.20397030297778265,0.23616036751209568,0.1198750659031589,0.11886505576011686,0.10295957415856892,,
sample graphwise,uc,1,360,8.0,0.0,3790.036111111111,254.6622519826536,12828.941666666668,1265.6971484510907,10.0,0.0,174.0861111111111,20.36829852679264,10.0,0.0,20.0,0.0,25.0,0.0,0.5120774235043277,0.0705049800814331,1.0,0.0,174.0861111111111,20.36829852679264,150.22222222222223,25.977352434499032,0.8618328668982087,0.10271656450480426,0.13816713310179124,0.10271656450480426,5.341761426334456,0.6770287002355253,5.006944444444445,0.7095237817815413,11.2,2.5317977802344327,0.4852548064256963,0.13410173685988677,0.46660451863072266,0.17918437088981715,0.12847649641580208,0.07964823426831043,0.10149899441516665,0.08380762833778636,8.057505099987612,2.106631383392508,5.483333333333333,1.4234152981864114,0.5554859169596787,0.13108977120638812,0.5265425526695343,0.19559617691030567,0.24870952780225808,0.11480951211236759,0.1297315105320448,0.1093811579148439,,
sample graphwise,nonibd,1,357,8.0,0.0,3759.450980392157,228.6020136619521,12805.06162464986,1123.8798876235144,10.0,0.0,172.2268907563025,20.322788870513335,10.0,0.0,20.0,0.0,25.0,0.0,0.5044355256048159,0.06908204308039745,1.0,0.0,172.2268907563025,20.322788870513335,148.0672268907563,27.35821030369768,0.8586234960134385,0.11222013719217093,0.14137650398656165,0.11222013719217093,5.171317284172784,0.6145213799590613,4.8767507002801125,0.6851302413801125,10.46218487394958,2.190340070419415,0.5277932379971226,0.128333466632987,0.5116881801670584,0.1671908075706047,0.1510636637680478,0.08145822269605209,0.12849514361424563,0.08551181793737105,7.980837938458025,2.2545991230802835,5.450980392156863,1.9738430691927882,0.5936257720481872,0.12700298287017636,0.5702685579614739,0.18722104492469813,0.2707554904442188,0.1208846898091353,0.16088420436862924,0.12444079759554943,,
sample graphwise,overall,2,1306,8.0,0.0,3778.102603369066,258.04000641178845,12789.10336906585,1243.3909973601899,10.0,0.0,173.27871362940274,20.11742991538385,10.0,0.0,20.0,0.0,25.0,0.0,0.50891277656578,0.07007946794462293,2.0,0.0,173.27871362940274,20.11742991538385,126.51761102603369,28.25840745411131,0.7279807220074201,0.12912285051244585,0.2720192779925799,0.12912285051244585,5.62325428700109,0.6876420913919973,5.360643185298621,0.7012006000891269,10.91271056661562,2.402788229240024,0.5081981443122469,0.13839493723186666,0.4918476691439353,0.18309501463433037,0.13529657377887036,0.08104915090918738,0.11033462704755698,0.08483084138698897,10.900840191567742,2.5185270012588266,7.281010719754977,4.282954307506836,0.6402238988186645,0.12418020624072375,0.6405460528184864,0.2201302385164138,0.36971904441456305,0.12977894278878616,0.21590807400738532,0.21655058506198482,,
sample graphwise,cd,2,589,8.0,0.0,3782.1137521222413,275.7030136693522,12755.081494057726,1296.5375347814881,10.0,0.0,173.42275042444822,19.80858036136408,10.0,0.0,20.0,0.0,25.0,0.0,0.5096922429413099,0.07028385855236322,2.0,0.0,173.42275042444822,19.80858036136408,126.5144312393888,28.958524504619717,0.7266332123786383,0.13093241734272448,0.2733667876213616,0.13093241734272448,5.68899081735201,0.6965286251984907,5.427843803056027,0.713897171060857,11.02716468590832,2.4179455580316955,0.48650285550931527,0.1407771867428072,0.46603762968601775,0.18683023312303604,0.12363868898774892,0.07765821772203137,0.09738815422199593,0.07986924282826188,10.971588802660298,2.556884421068743,7.32088285229202,4.204826465417214,0.6256442072314632,0.12472912595185853,0.6210023043154521,0.2238877720806121,0.36250357107801356,0.1299089364798682,0.20097421589903178,0.2151291000532881,,
