label	public_source_or_role	local_basename	size_bytes	sha256	status
ibdmdb_metadata	https://g-227ca.190ebd.75bc.data.globus.org/ibdmdb/metadata/hmp2_metadata_2018-08-20.csv	hmp2_metadata.csv	9074342	656b7bd97660ddb875548805e30bede31f2d1208293f7170d2d5755e33862ec9	Byte-identical to public source
ibdmdb_taxonomic_profiles	https://g-227ca.190ebd.75bc.data.globus.org/ibdmdb/products/HMP2/MGX/2018-05-04/taxonomic_profiles_3.tsv.gz	taxonomic_profiles_3.tsv.gz	539337	d790ff15e46d61ca0cadc55d9f918de4e3415d7f97c992ac37610aaee02117ed	Public source verified; every workbook row matched an official profile occurrence
analysis_labels	Derived cohort labels consumed by production analyses	sample_labels.csv	17256	e9ae8e14afa20e8e3a8a5863daee2ba1cbc70844f514b3cd7d1560fcf9004b18	Verified production input
species_source	Derived IBDMDB abundance workbook	Real_Species_Abundances.xlsx	4053517	991087eb7105b85ad60b0917fae895bb966ab4463709de092f7297fda6d22cb6	Verified production input
species_canonical	Historical canonical graph input	Real_Species_Abundances_canon.xlsx	2089350	087a5bd0dd001906b348fdedd433d911edad73fef3bde5af47ca0a0fef5cee69	Verified historical output
agora2_reactions_source	Extracted from AGORA2 SBML version 2.01	AGORA_reactions.parquet	45159595	799fe755c0c9ede07572742442a799a8de1ff4e7165f6ecb2812b6699955cf77	Verified production input
agora2_reactions_canonical	Historical canonical graph input	AGORA_reactions_canon.parquet	45070442	ec906cd5f08448991b3958112fd4367f17141e0bbbe7d0333c8382a5c36af755	Verified historical output
metaphlan2_v260_script	Historical external profiling executable	metaphlan2.py	66065	0f46d07b65643e3e39d346ca635a7ba3bb12530328538184e845d5f36f61feb6	Verified production executable
