schema_version,created_utc,C,repeat,fold,split_seed,model_seed,train_samples,test_samples,train_participants,test_participants,participant_overlap,train_nonibd_samples,train_ibd_samples,test_nonibd_samples,test_ibd_samples,test_nonibd_participants,test_ibd_participants,selected_total,selected_B,selected_K0,abs_coef_mass_total,abs_coef_mass_B,abs_coef_mass_K0,n_iter,convergence_warning,convergence_warning_messages,elapsed_seconds,sample_accuracy,sample_balanced_accuracy,sample_macro_f1,sample_positive_f1,sample_brier,sample_roc_auc,sample_log_loss,sample_tn,sample_fp,sample_fn,sample_tp,participant_accuracy,participant_balanced_accuracy,participant_macro_f1,participant_positive_f1,participant_brier,participant_roc_auc,participant_log_loss,participant_tn,participant_fp,participant_fn,participant_tp,feature_block
1,2026-09-03T16:58:00.251946+00:00,0.02,1,1,13,20261823,1078,239,84,22,0,300,778,59,180,5,17,163,163,0,3.4963561615015806,3.4963561615015806,0.0,4084,False,[],2070.062793493271,0.6485355648535565,0.5615819209039548,0.5562334217506631,0.7586206896551724,0.23144159751442606,0.5666666666666667,0.6564617525778901,23,36,48,132,0.6818181818181818,0.5823529411764705,0.5757575757575757,0.7878787878787878,0.2044155934539351,0.611764705882353,0.59503733331975,2,3,4,13,B
1,2026-09-03T17:27:47.796623+00:00,0.02,1,2,13,20261920,1024,293,85,21,0,253,771,106,187,7,14,118,118,0,3.16318535071332,3.16318535071332,0.0,3706,False,[],1787.519633769989,0.6450511945392492,0.6381545757239431,0.6300505050505051,0.7045454545454546,0.22150087036901436,0.6827262637473515,0.6324537309720726,65,41,63,124,0.6666666666666666,0.6428571428571428,0.6370370370370371,0.7407407407407407,0.20600491995735476,0.7244897959183674,0.5953546918101371,4,3,4,10,B
1,2026-09-03T17:55:10.836808+00:00,0.02,1,3,13,20262017,1038,279,85,21,0,302,736,57,222,4,17,159,159,0,3.309728006599471,3.309728006599471,0.0,3274,False,[],1643.001076221466,0.7383512544802867,0.7051920341394026,0.662892894384031,0.8223844282238443,0.18457761524477242,0.7478267741425636,0.550402297666605,37,20,53,169,0.7142857142857143,0.6323529411764706,0.60625,0.8125,0.19157138997240294,0.7205882352941176,0.5689654900332551,2,2,4,13,B
1,2026-09-03T18:19:03.305580+00:00,0.02,1,4,13,20262114,1082,235,85,21,0,286,796,73,162,6,15,116,116,0,3.338821119396016,3.338821119396016,0.0,2829,False,[],1432.4441096782684,0.6851063829787234,0.5947488584474886,0.5987910668143226,0.7848837209302325,0.19507686844006955,0.7640791476407914,0.5776833952692367,26,47,27,135,0.7142857142857143,0.6,0.60625,0.8125,0.19598001085667244,0.7888888888888889,0.5849701418522091,2,4,2,13,B
1,2026-09-03T18:54:30.298957+00:00,0.02,1,5,13,20262211,1046,271,85,21,0,295,751,64,207,4,17,145,145,0,3.2597369974537287,3.2597369974537287,0.0,4317,False,[],2126.9673721790314,0.6088560885608856,0.6090353260869565,0.5639118290017002,0.7039106145251397,0.2182154816566553,0.6891983695652175,0.6208222839048312,39,25,81,126,0.6190476190476191,0.6691176470588236,0.5714285714285714,0.7142857142857143,0.21245062292578692,0.7352941176470588,0.6127911714888647,3,1,7,10,B
1,2026-09-03T19:29:49.015874+00:00,0.02,2,1,1022,20262832,1038,279,84,22,0,274,764,85,194,6,16,115,115,0,3.2010574958694633,3.2010574958694633,0.0,4130,False,[],2118.691713809967,0.6559139784946236,0.600545785324439,0.5991379310344828,0.75,0.23849246149483003,0.5654942389326865,0.6747898500162215,39,46,50,144,0.7272727272727273,0.6041666666666666,0.611764705882353,0.8235294117647058,0.20981686531399746,0.5625,0.6128822360083516,2,4,2,14,B
1,2026-09-03T20:01:48.571737+00:00,0.02,2,2,1022,20262929,1060,257,85,21,0,330,730,29,228,3,18,169,169,0,3.3702090053993743,3.3702090053993743,0.0,4104,False,[],1919.5303070545197,0.6731517509727627,0.6803539019963702,0.5535980148883375,0.7846153846153846,0.19971786740289646,0.7462189957652753,0.5875455492649664,20,9,75,153,0.6190476190476191,0.6388888888888888,0.5333333333333333,0.7333333333333333,0.21140697711931028,0.7037037037037037,0.610630786227274,2,1,7,11,B
1,2026-09-03T20:27:30.528871+00:00,0.02,2,3,1022,20263026,1061,256,85,21,0,269,792,90,166,7,14,162,162,0,3.4874764961423352,3.4874764961423352,0.0,3415,False,[],1541.9209065437317,0.71875,0.6559571619812583,0.6631578947368422,0.8,0.19319006976114553,0.7475903614457832,0.5716235432189551,40,50,22,144,0.8095238095238095,0.75,0.7666666666666666,0.8666666666666667,0.19005904976035115,0.7653061224489797,0.5727398520327139,4,3,1,13,B
1,2026-09-03T21:06:39.087023+00:00,0.02,2,4,1022,20263123,1071,246,85,21,0,289,782,70,176,5,16,171,171,0,3.45777090464253,3.45777090464253,0.0,4185,False,[],2348.5242354869843,0.5975609756097561,0.5638798701298702,0.5512851220635652,0.6953846153846154,0.26868164715555154,0.5056006493506494,0.7611249318099194,34,36,63,113,0.6666666666666666,0.64375,0.6100795755968169,0.7586206896551724,0.24158225660180602,0.6000000000000001,0.6873728474479299,3,2,5,11,B
1,2026-09-03T21:36:26.533463+00:00,0.02,2,5,1022,20263220,1038,279,85,21,0,274,764,85,194,5,16,175,175,0,3.2739052055840148,3.2739052055840148,0.0,3375,False,[],1787.411735534668,0.7562724014336918,0.6958459672528805,0.7020728643216081,0.8291457286432161,0.1765763457997323,0.7887204366282595,0.5311747840862355,46,39,29,165,0.7619047619047619,0.6375,0.6464646464646464,0.8484848484848485,0.1679344059611408,0.875,0.5182154186567329,2,3,2,14,B
