schema_version,created_utc,C,repeat,fold,split_seed,model_seed,train_samples,test_samples,train_participants,test_participants,participant_overlap,train_nonibd_samples,train_ibd_samples,test_nonibd_samples,test_ibd_samples,test_nonibd_participants,test_ibd_participants,selected_total,selected_B,selected_K0,abs_coef_mass_total,abs_coef_mass_B,abs_coef_mass_K0,n_iter,convergence_warning,convergence_warning_messages,elapsed_seconds,sample_accuracy,sample_balanced_accuracy,sample_macro_f1,sample_positive_f1,sample_brier,sample_roc_auc,sample_log_loss,sample_tn,sample_fp,sample_fn,sample_tp,participant_accuracy,participant_balanced_accuracy,participant_macro_f1,participant_positive_f1,participant_brier,participant_roc_auc,participant_log_loss,participant_tn,participant_fp,participant_fn,participant_tp
1,2026-07-24T08:49:19.675971+00:00,0.02,1,1,13,20261823,1078,239,84,22,0,300,778,59,180,5,17,173,85,88,3.963665704068262,1.5762702775537036,2.3873954265145585,3453,False,[],4497.52654838562,0.6778242677824268,0.586723163841808,0.5829348441926345,0.7818696883852692,0.21156552272515228,0.6178907721280602,0.6095536463676892,24,35,42,138,0.7272727272727273,0.611764705882353,0.611764705882353,0.8235294117647058,0.18786398705313934,0.6941176470588235,0.5573671631215545,2,3,3,14
1,2026-07-24T10:18:13.796030+00:00,0.02,1,2,13,20261920,1024,293,85,21,0,253,771,106,187,7,14,124,60,64,3.746079172298778,1.620097063074354,2.1259821092244238,4365,False,[],5334.048862218857,0.6996587030716723,0.6870648774089396,0.6820244672454616,0.7569060773480663,0.20970582754603667,0.7017455352638482,0.6100421645447704,68,38,50,137,0.7142857142857143,0.7142857142857143,0.6971153846153846,0.7692307692307693,0.1917391917738759,0.7448979591836735,0.5669800416821253,5,2,4,10
1,2026-07-24T11:26:26.026928+00:00,0.02,1,3,13,20262017,1038,279,85,21,0,302,736,57,222,4,17,164,92,72,3.8010574197978713,1.3012593151652254,2.499798104632646,3333,False,[],4092.1667964458466,0.7275985663082437,0.5941204362256993,0.5916024653312789,0.8272727272727273,0.17963085106522753,0.7021890311363995,0.5396734249606681,21,36,40,182,0.6666666666666666,0.5073529411764706,0.505050505050505,0.7878787878787878,0.17974717292702086,0.6911764705882353,0.541683280697798,1,3,4,13
1,2026-07-24T12:46:10.002522+00:00,0.02,1,4,13,20262114,1082,235,85,21,0,286,796,73,162,6,15,143,68,75,4.08870556873444,1.5787283016834408,2.509977267050999,3641,False,[],4783.45791387558,0.7617021276595745,0.6766446812108913,0.690032033163746,0.8390804597701149,0.18581950258895893,0.7659394554371723,0.5566102253663194,33,40,16,146,0.8095238095238095,0.7166666666666667,0.7375,0.875,0.18629428345255739,0.788888888888889,0.5625908067159847,3,3,1,14
1,2026-07-24T14:07:27.843530+00:00,0.02,1,5,13,20262211,1046,271,85,21,0,295,751,64,207,4,17,152,83,69,3.8307029836578295,1.6353722075000405,2.195330776157789,3886,False,[],4877.753895282745,0.6826568265682657,0.7113149154589372,0.6461926159825115,0.7597765363128491,0.20989863392123528,0.7671346618357489,0.6212381223618764,49,15,71,136,0.7619047619047619,0.8529411764705883,0.7214854111405835,0.8275862068965517,0.2120277518811321,0.7941176470588236,0.6140164147327363,4,0,5,12
1,2026-07-24T15:39:23.233245+00:00,0.02,2,1,1022,20262832,1038,279,84,22,0,274,764,85,194,6,16,114,42,72,4.007438548025675,1.4909283404704183,2.516510207555257,4415,False,[],5515.301312923431,0.6594982078853047,0.5899029714978775,0.5912560721721027,0.7582697201017812,0.2335366804023248,0.5673135233474833,0.6671382321374129,35,50,45,149,0.7727272727272727,0.6875,0.696969696969697,0.8484848484848485,0.2078766901826226,0.5625,0.6097203147407095,3,3,2,14
1,2026-07-24T17:45:42.264315+00:00,0.02,2,2,1022,20262929,1060,257,85,21,0,330,730,29,228,3,18,140,67,73,3.928162482814514,1.506328875082545,2.421833607731969,5842,False,[],7578.934319019318,0.708171206225681,0.5797035692679976,0.5308506754289887,0.8192771084337349,0.18670823285213778,0.7409255898366607,0.5552822777606444,12,17,58,170,0.6666666666666666,0.5277777777777778,0.505050505050505,0.7878787878787878,0.19702076223320322,0.7222222222222223,0.5774801690356556,1,2,5,13
1,2026-07-24T19:39:28.830563+00:00,0.02,2,3,1022,20263026,1061,256,85,21,0,269,792,90,166,7,14,152,86,66,4.075269991604728,1.7555824982118793,2.3196874933928484,5291,False,[],6826.100647449493,0.73046875,0.6675368139223561,0.6759553117719359,0.8088642659279779,0.18323204275413685,0.7812583668005354,0.5459709874633142,41,49,20,146,0.8095238095238095,0.75,0.7666666666666666,0.8666666666666667,0.17830356140768483,0.8265306122448981,0.5429735267041066,4,3,1,13
1,2026-07-24T21:15:07.036173+00:00,0.02,2,4,1022,20263123,1071,246,85,21,0,289,782,70,176,5,16,154,82,72,3.8454195355880074,1.3855297634727322,2.4598897721152753,4543,False,[],5737.7550530433655,0.6016260162601627,0.5624188311688312,0.5518292682926829,0.7012195121951219,0.26062934960345296,0.5364448051948053,0.7471180236330305,33,37,61,115,0.6190476190476191,0.6125,0.5714285714285714,0.7142857142857143,0.2281737415027733,0.65,0.6485123497359672,3,2,6,10
1,2026-07-24T22:04:35.494301+00:00,0.02,2,5,1022,20263220,1038,279,85,21,0,274,764,85,194,5,16,186,90,96,3.8986011371016502,1.1623299372149631,2.736271199886687,3151,False,[],2967.1124744415283,0.7060931899641577,0.6630685263796241,0.6597156116135174,0.7853403141361257,0.20172815434980002,0.7155852031534263,0.6097249188268484,47,38,44,150,0.8095238095238095,0.7375,0.7375,0.875,0.18571399481383977,0.7875000000000001,0.556058940633763,3,2,2,14
