representation,C,repeat,oof_samples,oof_participants,sample_accuracy,sample_balanced_accuracy,sample_macro_f1,sample_positive_f1,sample_brier,sample_roc_auc,sample_log_loss,sample_tn,sample_fp,sample_fn,sample_tp,participant_accuracy,participant_balanced_accuracy,participant_macro_f1,participant_positive_f1,participant_brier,participant_roc_auc,participant_log_loss,participant_tn,participant_fp,participant_fn,participant_tp
B only,0.02,17,1317,106,0.6977980258162491,0.646845796430586,0.6380728927875028,0.785097192224622,0.2114992916325673,0.6665915527357947,0.6227969636734405,192,167,231,727,0.7264150943396226,0.6759615384615385,0.6594660463055279,0.8104575163398693,0.2006603774176137,0.6879807692307693,0.595096963997976,15,11,18,62
B only,0.02,18,1317,106,0.70083523158694,0.6489334791028198,0.6406443910114352,0.7877155172413793,0.198795232170816,0.7040317281244003,0.5836565041650817,192,167,227,731,0.7264150943396226,0.65,0.6440069484655472,0.8152866242038217,0.191119872049653,0.7240384615384615,0.5678637761384884,13,13,16,64
B only,0.02,19,1317,106,0.6985573272589218,0.6447552061223185,0.6370931301948671,0.7864443249058634,0.2035745764125426,0.6832435843010916,0.5988307675840259,189,170,227,731,0.7264150943396226,0.6629807692307692,0.652065647990945,0.8129032258064516,0.1943987149319058,0.7043269230769231,0.5773463863920824,14,12,17,63
B only,0.02,20,1317,106,0.7000759301442673,0.6562490913637394,0.6446834857716983,0.7849755035383778,0.2117519818366887,0.6828525072545518,0.619612739755368,201,158,237,721,0.7452830188679245,0.6754807692307692,0.6685581933989577,0.8280254777070064,0.201479118417754,0.7197115384615385,0.5975520846982693,14,12,15,65
K0 only,0.02,1,1317,106,0.7190584662110858,0.655363716191462,0.6523231256599789,0.8046462513199577,0.1949635268869078,0.7072751961200505,0.5800683012754088,185,174,196,762,0.7452830188679245,0.6884615384615385,0.6760611205432937,0.8258064516129032,0.1852378681405131,0.7245192307692309,0.5552629461951671,15,11,16,64
K0 only,0.02,2,1317,106,0.6902050113895216,0.6207265019393933,0.6178699436763953,0.7841269841269841,0.2058722716095085,0.6620134798006524,0.6053868725943002,168,191,217,741,0.7547169811320755,0.6947115384615384,0.6845238095238095,0.8333333333333334,0.1913095182412453,0.6879807692307692,0.5690747260085185,15,11,15,65
K0 only,0.02,3,1317,106,0.6886864085041762,0.6283910305243631,0.6226329384270467,0.7805139186295503,0.2044403683447217,0.6820936142497426,0.5992377626397675,178,181,229,729,0.7264150943396226,0.6629807692307692,0.652065647990945,0.8129032258064516,0.195529657479604,0.7096153846153845,0.5772573195160605,14,12,17,63
K0 only,0.02,4,1317,106,0.6750189825360668,0.6050630666255721,0.6017167115110679,0.7725823591923485,0.2103314271818645,0.6600900785643257,0.6135254751929698,162,197,231,727,0.7075471698113207,0.5985576923076923,0.5998051394470831,0.8074534161490683,0.1948866160420244,0.6903846153846154,0.5748322985396834,10,16,15,65
K0 only,0.02,5,1317,106,0.6651480637813212,0.5904405650118341,0.5879671308445227,0.766295707472178,0.2234308377364794,0.6155247410750111,0.6463798177175083,153,206,235,723,0.6698113207547169,0.5735576923076923,0.5703532136653156,0.7770700636942676,0.2132417875557579,0.6307692307692307,0.6188113659886795,10,16,19,61
K0 only,0.02,6,1317,106,0.7160212604403948,0.6367301306691633,0.6381357775087277,0.8060165975103735,0.1960941054737926,0.686191927239316,0.5788471994110523,166,193,181,777,0.7264150943396226,0.6370192307692308,0.6352201257861636,0.8176100628930818,0.1876127165158418,0.7024038461538462,0.5610072265438044,12,14,15,65
K0 only,0.02,7,1317,106,0.7380410022779044,0.661445036956054,0.6640715972984663,0.8217054263565892,0.1852477152397812,0.7234096684713395,0.5525978280987525,177,182,163,795,0.8113207547169812,0.7192307692307692,0.7306910569105691,0.8780487804878049,0.1742495313534736,0.7548076923076923,0.5307916703719502,14,12,8,72
K0 only,0.02,8,1317,106,0.7114654517843584,0.6344694436529213,0.6349352240896359,0.8020833333333334,0.1931301895510814,0.7035592372689156,0.5727388457349855,167,192,188,770,0.7358490566037735,0.65625,0.6521331458040319,0.8227848101265823,0.1808864403158479,0.7168269230769231,0.5461008070806054,13,13,15,65
K0 only,0.02,9,1317,106,0.7266514806378133,0.6614537598641552,0.6594611366809743,0.8107255520504731,0.1944741229876374,0.6981161426137321,0.590967768219323,186,173,187,771,0.7641509433962265,0.7009615384615384,0.6931094383323683,0.8407643312101911,0.1856403340639721,0.7153846153846154,0.5585180355022156,15,11,14,66
K0 only,0.02,10,1317,106,0.7114654517843584,0.6527570204872035,0.6475057896783136,0.7976570820021299,0.2018016277551163,0.680145498107129,0.5995450140194171,188,171,209,749,0.7358490566037735,0.65625,0.6521331458040319,0.8227848101265823,0.1930115902776241,0.6990384615384616,0.5766008427936501,13,13,15,65
K0 only,0.02,11,1317,106,0.7069096431283219,0.6217587127313751,0.6238056193611026,0.8006198347107438,0.2007484472059011,0.6669942603264694,0.5916368923349353,156,203,183,775,0.7075471698113207,0.585576923076923,0.5885814448478778,0.8098159509202454,0.1843809128348298,0.7038461538461538,0.554149659813112,9,17,14,66
K0 only,0.02,12,1317,106,0.7023538344722855,0.638656439541524,0.6346326963906582,0.7919320594479831,0.1981959805228769,0.6980041986264328,0.5807189377782819,179,180,212,746,0.7452830188679245,0.6754807692307692,0.6685581933989577,0.8280254777070064,0.1867807348057997,0.726923076923077,0.5535359387781832,14,12,15,65
K0 only,0.02,13,1317,106,0.7334851936218679,0.6591843499398119,0.6606938253318252,0.8178515827711469,0.1884629485200124,0.7178793447351435,0.5613815548408175,178,181,170,788,0.7641509433962265,0.6879807692307692,0.6855345911949686,0.8427672955974843,0.1820358471496579,0.7269230769230769,0.5483249801670522,14,12,13,67
K0 only,0.02,14,1317,106,0.7053910402429765,0.6241982193636929,0.6252618054455533,0.7985462097611631,0.1988367838963085,0.6745352143800047,0.5861568964645806,160,199,189,769,0.7641509433962265,0.675,0.6772622092315187,0.84472049689441,0.1831059303100732,0.7057692307692308,0.5509216404382172,13,13,12,68
K0 only,0.02,15,1317,106,0.7380410022779044,0.6675408959008147,0.668267535389834,0.8204060385216033,0.1915122723308168,0.7152697413948512,0.5806554993462829,184,175,170,788,0.7830188679245284,0.7134615384615384,0.7106918238993711,0.8553459119496856,0.1802071696526886,0.7456730769230769,0.5453120407224795,15,11,12,68
K0 only,0.02,16,1317,106,0.6924829157175398,0.6170672419909166,0.6159230096237971,0.7874015748031497,0.2143832445082701,0.6408589738370909,0.6301902079454816,162,197,208,750,0.7547169811320755,0.6947115384615384,0.6845238095238095,0.8333333333333334,0.1985065189354165,0.6692307692307692,0.5895253974948633,15,11,15,65
K0 only,0.02,17,1317,106,0.7312072892938497,0.6506518919987672,0.653719658932232,0.8175257731958763,0.192942533265177,0.6869479126080913,0.5781232193237305,170,189,165,793,0.8018867924528302,0.7129807692307693,0.7212971078001753,0.8711656441717791,0.1794774031850187,0.7245192307692307,0.5458989675760707,14,12,9,71
K0 only,0.02,18,1317,106,0.7251328777524677,0.6726016364175598,0.6657791574130156,0.8066239316239316,0.1967335493381637,0.7020981501619553,0.5831359541807021,200,159,203,755,0.7547169811320755,0.6817307692307693,0.6769807782466011,0.8354430379746836,0.1879602233143661,0.7105769230769231,0.5621514526094646,14,12,14,66
K0 only,0.02,19,1317,106,0.7296886864085042,0.6548330726153023,0.6561680482954045,0.8151609553478713,0.1864508221643637,0.7220110955391049,0.5549068684189975,176,183,173,785,0.8018867924528302,0.7389423076923077,0.7358490566037736,0.8679245283018868,0.1734279912544808,0.7456730769230768,0.5285866902988092,16,10,11,69
K0 only,0.02,20,1317,106,0.7175398633257403,0.6429989939579324,0.643247447003105,0.8060479666319083,0.196570712923635,0.6742924267711865,0.5994638860690874,172,187,185,773,0.7735849056603774,0.7072115384615385,0.7018284106891701,0.8481012658227848,0.1815097371218389,0.7177884615384615,0.5558070542651503,15,11,13,67
[B|K0],0.02,1,1317,106,0.7091875474563402,0.6572871174277889,0.6493622410853128,0.7941966684578183,0.1994495728090561,0.7040680735748222,0.5878158650777251,195,164,219,739,0.7358490566037735,0.6822115384615384,0.6677115987460815,0.8181818181818182,0.1914998497189006,0.7221153846153846,0.5684222533525379,15,11,17,63
[B|K0],0.02,2,1317,106,0.6818526955201215,0.6149853745907502,0.6110210799742007,0.77700904736562,0.2129423903284009,0.6474055163670833,0.6245345269149136,168,191,228,730,0.7358490566037735,0.6692307692307693,0.6602564102564102,0.8205128205128205,0.1994975522591905,0.6725961538461538,0.5871638856644918,14,12,16,64
[B|K0],0.02,3,1317,106,0.6940015186028854,0.6424945191060764,0.6337963739182093,0.782279848730416,0.2058284934076689,0.6831112868615559,0.6040694409278115,190,169,234,724,0.7169811320754716,0.6826923076923077,0.6580645161290323,0.8,0.1996571776713268,0.6942307692307693,0.5878309023565005,16,10,20,60
[B|K0],0.02,4,1317,106,0.6636294608959757,0.6015884415652386,0.5956508088979817,0.7614431879375336,0.2108052995939161,0.6664316327539384,0.6146582030619456,167,192,251,707,0.6886792452830188,0.5860576923076923,0.5849056603773586,0.7924528301886793,0.1986512157603768,0.6961538461538461,0.5824532070514518,10,16,17,63
[B|K0],0.02,5,1317,106,0.6340167046317388,0.5620751216845681,0.5583931145406076,0.7411385606874329,0.2304039767897556,0.5994789516227517,0.6623433657356552,145,214,268,690,0.6886792452830188,0.5990384615384615,0.5949044585987262,0.7898089171974523,0.2215280162145384,0.6120192307692308,0.6388376935931098,11,15,18,62
[B|K0],0.02,6,1317,106,0.6780561883067577,0.6132466082425666,0.6085369136550239,0.7735042735042735,0.2085875805356846,0.661258948249894,0.6084282211408496,169,190,234,724,0.6981132075471698,0.6182692307692308,0.6117216117216117,0.7948717948717948,0.1999149604486916,0.6677884615384616,0.5892708765198625,12,14,18,62
[B|K0],0.02,7,1317,106,0.715261958997722,0.6527541128511698,0.6490632805255435,0.8014822657490736,0.1986905434496064,0.6790798495007588,0.5850413225960691,185,174,201,757,0.7735849056603774,0.7201923076923077,0.7087912087912087,0.8461538461538461,0.1870232292847215,0.7,0.5611705592638478,16,10,14,66
[B|K0],0.02,8,1317,106,0.7175398633257403,0.6525782008711277,0.6498662138520119,0.8037974683544303,0.1974294790834729,0.6969530882002314,0.5833252377210927,183,176,196,762,0.7924528301886793,0.7197115384615385,0.7197115384615385,0.8625,0.1880672374712015,0.7177884615384617,0.5626903333751785,15,11,11,69
[B|K0],0.02,9,1317,106,0.7175398633257403,0.6534490378632365,0.6504437912040869,0.8035902851108765,0.1980266563283786,0.6957842185146632,0.5888525898417916,184,175,197,761,0.7641509433962265,0.7139423076923077,0.7000565930956424,0.8387096774193549,0.1902934398110228,0.7201923076923077,0.5689251502360944,16,10,15,65
[B|K0],0.02,10,1317,106,0.7031131359149583,0.6383075232174737,0.6346828756467311,0.7927927927927928,0.2089820860312776,0.6530841295410006,0.6138249709510628,178,181,210,748,0.7452830188679245,0.6625,0.6603773584905661,0.8301886792452831,0.2009810809350366,0.6543269230769231,0.5924314722083532,13,13,14,66
[B|K0],0.02,11,1317,106,0.6735003796507213,0.5996650403289118,0.5972648916197303,0.7724867724867724,0.209280006227953,0.65416867778159,0.6087041995688838,157,202,228,730,0.7169811320754716,0.6307692307692307,0.6272855133614628,0.810126582278481,0.1944020947979342,0.6860576923076923,0.57485753006693,12,14,16,64
[B|K0],0.02,12,1317,106,0.680334092634776,0.617424881223068,0.612209528005959,0.7747458533975388,0.2027167789301389,0.6879859386721409,0.5906379547107612,172,187,234,724,0.6981132075471698,0.63125,0.6202418271383789,0.7922077922077922,0.1922646958053054,0.7240384615384615,0.5676915508403881,13,13,19,61
[B|K0],0.02,13,1317,106,0.70083523158694,0.6393542721896244,0.6345191608769883,0.7902023429179978,0.1944573196291996,0.7052863730729642,0.5740175173534748,181,178,216,742,0.7547169811320755,0.6817307692307693,0.6769807782466011,0.8354430379746836,0.189587307829206,0.7206730769230769,0.5644948221662995,14,12,14,66
[B|K0],0.02,14,1317,106,0.6924829157175398,0.6257756119120033,0.6222124636562277,0.7851458885941645,0.2037479207774787,0.6676353940719116,0.596904398101566,172,187,218,740,0.7169811320754716,0.6567307692307692,0.6439767129422302,0.8051948051948052,0.1909079574831995,0.7043269230769231,0.5670832209794553,14,12,18,62
[B|K0],0.02,15,1317,106,0.7114654517843584,0.6440486505661167,0.6417424520089797,0.7997892518440464,0.2050990903502574,0.6817592361058611,0.6141309084936606,178,181,199,759,0.7735849056603774,0.7072115384615385,0.7018284106891701,0.8481012658227848,0.1937247166495261,0.7139423076923077,0.5787844585316555,15,11,13,67
[B|K0],0.02,16,1317,106,0.6856492027334852,0.6158533039468251,0.6128802767301313,0.7807203389830508,0.220726354576067,0.6287922842970208,0.6468427027477553,166,193,221,737,0.7264150943396226,0.6629807692307692,0.652065647990945,0.8129032258064516,0.2047505809440016,0.6658653846153846,0.6063626078980916,14,12,17,63
[B|K0],0.02,17,1317,106,0.7107061503416856,0.6417850559138409,0.6398987249476653,0.7995791688584956,0.2045568914591426,0.6700371014357906,0.6062887412225366,176,183,198,760,0.7358490566037735,0.65625,0.6521331458040319,0.8227848101265823,0.192345314323553,0.698076923076923,0.5751551554351882,13,13,15,65
[B|K0],0.02,18,1317,106,0.7099468488990129,0.6560673641116299,0.6489440983386924,0.7952840300107181,0.1989553494681394,0.6983734684027192,0.5876469328894569,193,166,216,742,0.7264150943396226,0.65,0.6440069484655472,0.8152866242038217,0.1925114365148796,0.701923076923077,0.572772978484403,13,13,16,64
[B|K0],0.02,19,1317,106,0.7061503416856492,0.6351701839370555,0.633612562208278,0.7966368891224382,0.1980782979185162,0.6867909002622687,0.5825316689772347,172,187,200,758,0.7641509433962265,0.6879807692307692,0.6855345911949686,0.8427672955974843,0.1842440896828012,0.7283653846153846,0.55300921400223,14,12,13,67
[B|K0],0.02,20,1317,106,0.7091875474563402,0.6424828885619414,0.639810626211703,0.7978891820580475,0.2040580363553697,0.6693901524182808,0.6014108089785146,178,181,202,756,0.7547169811320755,0.7076923076923077,0.6914464845499328,0.8311688311688312,0.1905786582436457,0.7057692307692308,0.5707489076144169,16,10,16,64
