representation,evaluation_level,n_repetitions,n_observations,accuracy_mean,accuracy_sd,accuracy_q025,accuracy_q975,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_q025,balanced_accuracy_q975,macro_f1_mean,macro_f1_sd,macro_f1_q025,macro_f1_q975,roc_auc_mean,roc_auc_sd,roc_auc_q025,roc_auc_q975
B only,sample,20,1317,0.6787015945330296,0.0235934230997287,0.6367312072892939,0.7167805618830676,0.6235306988212443,0.027793573779402055,0.5743861253423741,0.6674834337436977,0.6157193232273959,0.02685631005953082,0.5685032795074252,0.6588271584039634,0.6619626688609628,0.03314694607237289,0.5931459022685376,0.7007108079739011
B only,participant,20,106,0.7099056603773584,0.02004169269183107,0.6742924528301887,0.7408018867924527,0.641658653846154,0.026790482393237124,0.5924519230769231,0.6759615384615385,0.6314523450528113,0.024750309688181,0.5868555758301616,0.6646148464062477,0.6842307692307693,0.036760723949455516,0.6114543269230769,0.7300600961538461
K0 only,sample,20,1317,0.7111996962794229,0.02064241067712505,0.6698367501898254,0.7380410022779044,0.639816586318991,0.021986298342563458,0.5973862532783596,0.6701977846721059,0.6387059089280828,0.02243869669215722,0.5944981816611317,0.6670855558508453,0.6858655450945272,0.027920274387962477,0.627558501636999,0.722745346328528
K0 only,participant,20,106,0.7514150943396226,0.03480083026578247,0.6877358490566037,0.8068396226415094,0.6730528846153845,0.044836243477494354,0.5792668269230768,0.7295793269230769,0.6698601634621919,0.04490482740514723,0.5790116234770326,0.7333990067495015,0.7104326923076922,0.027837065069522566,0.6490384615384615,0.75046875
[B|K0],sample,20,1317,0.6947228549734245,0.02143311537928975,0.6480827638572513,0.7175398633257403,0.6303196655055507,0.02412064764845556,0.5799303330406314,0.6567077346026133,0.6261955738952032,0.023943304345172493,0.5760905193603603,0.6501694419618513,0.6718437610853623,0.026503092999948838,0.6134027846430296,0.7047076808113467
[B|K0],participant,20,106,0.7353773584905661,0.029907297139900712,0.6886792452830188,0.7834905660377359,0.6663221153846154,0.03899880161449662,0.5922235576923077,0.7199639423076923,0.6581000507525723,0.03749833240623492,0.5896550895325082,0.7145243818681318,0.6953125000000001,0.028892032931560997,0.6321153846153846,0.7263100961538461
